task_id,resource_id,requirement_type,quantity,mandatory,task_resource_id,required_skill,role
TASK_000011,RES_0006,L3,1,True,TR_000031,L3,SUPPORT
TASK_000011,RES_0027,L2,1,True,TR_000032,L2,SUPPORT
TASK_000011,RES_0003,L2,1,False,TR_000033,L2,LEAD
TASK_000012,RES_0010,L3,1,True,TR_000034,L3,TECHNICIAN
TASK_000012,RES_0001,L3,1,True,TR_000035,L3,LEAD
TASK_000012,RES_0019,L1,1,True,TR_000036,L1,SUPPORT
TASK_000013,RES_0005,L1,1,True,TR_000037,L1,TECHNICIAN
TASK_000013,RES_0014,L1,1,True,TR_000038,L1,LEAD
TASK_000013,RES_0017,L3,1,True,TR_000039,L3,TECHNICIAN
TASK_000014,RES_0003,L2,1,True,TR_000040,L2,TECHNICIAN
TASK_000014,RES_0015,L3,1,True,TR_000041,L3,LEAD
TASK_000014,RES_0030,L3,1,True,TR_000042,L3,LEAD
TASK_000015,RES_0002,L2,1,False,TR_000043,L2,SUPPORT
TASK_000015,RES_0023,L3,1,True,TR_000044,L3,SUPPORT
TASK_000015,RES_0005,L1,1,True,TR_000045,L1,SUPPORT
TASK_000016,RES_0018,L3,1,True,TR_000046,L3,SUPPORT
TASK_000016,RES_0012,L1,1,True,TR_000047,L1,SUPPORT
TASK_000016,RES_0006,L3,1,True,TR_000048,L3,SUPPORT
TASK_000017,RES_0019,L1,1,True,TR_000049,L1,TECHNICIAN
TASK_000017,RES_0010,L3,1,True,TR_000050,L3,SUPPORT
TASK_000017,RES_0001,L3,1,False,TR_000051,L3,LEAD
TASK_000018,RES_0020,L1,1,True,TR_000052,L1,LEAD
TASK_000018,RES_0023,L3,1,True,TR_000053,L3,TECHNICIAN
TASK_000018,RES_0029,L1,1,True,TR_000054,L1,SUPPORT
TASK_000019,RES_0030,L3,1,True,TR_000055,L3,LEAD
TASK_000019,RES_0024,L1,1,True,TR_000056,L1,SUPPORT
TASK_000019,RES_0015,L3,1,False,TR_000057,L3,TECHNICIAN
TASK_000020,RES_0001,L3,1,True,TR_000058,L3,LEAD
TASK_000020,RES_0004,L1,1,True,TR_000059,L1,LEAD
TASK_000020,RES_0025,L2,1,True,TR_000060,L2,LEAD
TASK_000021,RES_0005,L1,1,True,TR_000061,L1,TECHNICIAN
TASK_000021,RES_0002,L2,1,True,TR_000062,L2,LEAD
TASK_000021,RES_0026,L1,1,False,TR_000063,L1,LEAD
TASK_000022,RES_0010,L3,1,False,TR_000064,L3,LEAD
TASK_000022,RES_0007,L1,1,True,TR_000065,L1,LEAD
TASK_000022,RES_0025,L2,1,True,TR_000066,L2,TECHNICIAN
TASK_000023,RES_0008,L1,1,True,TR_000067,L1,SUPPORT
TASK_000023,RES_0029,L1,1,True,TR_000068,L1,LEAD
TASK_000023,RES_0023,L3,1,True,TR_000069,L3,LEAD
TASK_000024,RES_0009,L3,1,True,TR_000070,L3,LEAD
TASK_000024,RES_0006,L3,1,True,TR_000071,L3,LEAD
TASK_000024,RES_0003,L2,1,True,TR_000072,L2,TECHNICIAN
TASK_000025,RES_0025,L2,1,False,TR_000073,L2,SUPPORT
TASK_000025,RES_0028,L2,1,True,TR_000074,L2,SUPPORT
TASK_000025,RES_0013,L1,1,True,TR_000075,L1,TECHNICIAN
TASK_000026,RES_0008,L1,1,False,TR_000076,L1,TECHNICIAN
TASK_000026,RES_0011,L1,1,True,TR_000077,L1,SUPPORT
TASK_000026,RES_0026,L1,1,True,TR_000078,L1,TECHNICIAN
TASK_000027,RES_0021,L1,1,True,TR_000079,L1,SUPPORT
TASK_000027,RES_0012,L1,1,True,TR_000080,L1,SUPPORT
TASK_000027,RES_0009,L3,1,True,TR_000081,L3,LEAD
TASK_000028,RES_0028,L2,1,True,TR_000082,L2,TECHNICIAN
TASK_000028,RES_0025,L2,1,False,TR_000083,L2,LEAD
TASK_000028,RES_0001,L3,1,True,TR_000084,L3,LEAD
TASK_000029,RES_0021,L1,1,True,TR_000085,L1,LEAD
TASK_000029,RES_0027,L2,1,True,TR_000086,L2,SUPPORT
TASK_000029,RES_0012,L1,1,True,TR_000087,L1,LEAD
TASK_000030,RES_0028,L2,1,True,TR_000088,L2,SUPPORT
TASK_000030,RES_0016,L2,1,True,TR_000089,L2,TECHNICIAN
TASK_000030,RES_0007,L1,1,True,TR_000090,L1,SUPPORT
TASK_000031,RES_0008,L1,1,True,TR_000091,L1,TECHNICIAN
TASK_000031,RES_0005,L1,1,True,TR_000092,L1,SUPPORT
TASK_000031,RES_0029,L1,1,True,TR_000093,L1,TECHNICIAN
TASK_000032,RES_0009,L3,1,False,TR_000094,L3,SUPPORT
TASK_000032,RES_0027,L2,1,True,TR_000095,L2,LEAD
TASK_000032,RES_0006,L3,1,True,TR_000096,L3,TECHNICIAN
TASK_000033,RES_0019,L1,1,False,TR_000097,L1,SUPPORT
TASK_000033,RES_0004,L1,1,True,TR_000098,L1,LEAD
TASK_000033,RES_0013,L1,1,False,TR_000099,L1,LEAD
TASK_000034,RES_0017,L3,1,True,TR_000100,L3,SUPPORT
TASK_000034,RES_0002,L2,1,False,TR_000101,L2,SUPPORT
TASK_000034,RES_0029,L1,1,True,TR_000102,L1,TECHNICIAN
TASK_000035,RES_0027,L2,1,True,TR_000103,L2,SUPPORT
TASK_000035,RES_0012,L1,1,False,TR_000104,L1,TECHNICIAN
TASK_000035,RES_0006,L3,1,True,TR_000105,L3,LEAD
TASK_000036,RES_0005,L1,1,True,TR_000106,L1,SUPPORT
TASK_000036,RES_0026,L1,1,True,TR_000107,L1,TECHNICIAN
TASK_000036,RES_0017,L3,1,True,TR_000108,L3,TECHNICIAN
TASK_000037,RES_0003,L2,1,False,TR_000109,L2,TECHNICIAN
TASK_000037,RES_0012,L1,1,True,TR_000110,L1,LEAD
TASK_000037,RES_0009,L3,1,True,TR_000111,L3,TECHNICIAN
TASK_000038,RES_0001,L3,1,False,TR_000112,L3,LEAD
TASK_000038,RES_0013,L1,1,True,TR_000113,L1,LEAD
TASK_000038,RES_0022,L2,1,False,TR_000114,L2,LEAD
TASK_000039,RES_0008,L1,1,True,TR_000115,L1,SUPPORT
TASK_000039,RES_0029,L1,1,True,TR_000116,L1,LEAD
TASK_000039,RES_0023,L3,1,True,TR_000117,L3,TECHNICIAN
TASK_000040,RES_0030,L3,1,True,TR_000118,L3,SUPPORT
TASK_000040,RES_0021,L1,1,True,TR_000119,L1,SUPPORT
TASK_000040,RES_0027,L2,1,True,TR_000120,L2,TECHNICIAN
TASK_000041,RES_0001,L3,1,True,TR_000121,L3,SUPPORT
TASK_000041,RES_0016,L2,1,True,TR_000122,L2,TECHNICIAN
TASK_000041,RES_0004,L1,1,True,TR_000123,L1,TECHNICIAN
TASK_000042,RES_0023,L3,1,True,TR_000124,L3,TECHNICIAN
TASK_000042,RES_0011,L1,1,False,TR_000125,L1,SUPPORT
TASK_000042,RES_0026,L1,1,True,TR_000126,L1,TECHNICIAN
TASK_000043,RES_0025,L2,1,True,TR_000127,L2,TECHNICIAN
TASK_000043,RES_0022,L2,1,False,TR_000128,L2,SUPPORT
TASK_000043,RES_0028,L2,1,True,TR_000129,L2,SUPPORT
TASK_000043,RES_0013,L1,1,True,TR_000130,L1,SUPPORT
TASK_000043,RES_0019,L1,1,True,TR_000131,L1,TECHNICIAN
TASK_000044,RES_0029,L1,1,True,TR_000132,L1,SUPPORT
TASK_000044,RES_0014,L1,1,False,TR_000133,L1,TECHNICIAN
TASK_000044,RES_0026,L1,1,True,TR_000134,L1,LEAD
TASK_000045,RES_0012,L1,1,True,TR_000135,L1,LEAD
TASK_000045,RES_0030,L3,1,False,TR_000136,L3,TECHNICIAN
TASK_000045,RES_0015,L3,1,False,TR_000137,L3,LEAD
TASK_000046,RES_0019,L1,1,False,TR_000138,L1,SUPPORT
TASK_000046,RES_0022,L2,1,True,TR_000139,L2,TECHNICIAN
TASK_000046,RES_0010,L3,1,True,TR_000140,L3,TECHNICIAN
TASK_000046,RES_0013,L1,1,True,TR_000141,L1,LEAD
TASK_000047,RES_0023,L3,1,True,TR_000142,L3,SUPPORT
TASK_000047,RES_0029,L1,1,True,TR_000143,L1,TECHNICIAN
TASK_000047,RES_0008,L1,1,True,TR_000144,L1,TECHNICIAN
TASK_000048,RES_0027,L2,1,True,TR_000145,L2,SUPPORT
TASK_000048,RES_0012,L1,1,True,TR_000146,L1,LEAD
TASK_000048,RES_0021,L1,1,True,TR_000147,L1,TECHNICIAN
TASK_000049,RES_0025,L2,1,True,TR_000148,L2,SUPPORT
TASK_000049,RES_0028,L2,1,True,TR_000149,L2,LEAD
TASK_000049,RES_0001,L3,1,True,TR_000150,L3,SUPPORT
TASK_000050,RES_0020,L1,1,True,TR_000151,L1,SUPPORT
TASK_000050,RES_0002,L2,1,True,TR_000152,L2,TECHNICIAN
TASK_000050,RES_0017,L3,1,False,TR_000153,L3,LEAD
TASK_000051,RES_0019,L1,1,False,TR_000154,L1,TECHNICIAN
TASK_000051,RES_0004,L1,1,True,TR_000155,L1,SUPPORT
TASK_000051,RES_0013,L1,1,True,TR_000156,L1,TECHNICIAN
TASK_000051,RES_0016,L2,1,True,TR_000157,L2,LEAD
TASK_000052,RES_0029,L1,1,False,TR_000158,L1,TECHNICIAN
TASK_000052,RES_0008,L1,1,True,TR_000159,L1,SUPPORT
TASK_000052,RES_0026,L1,1,True,TR_000160,L1,TECHNICIAN
TASK_000053,RES_0018,L3,1,True,TR_000161,L3,TECHNICIAN
TASK_000053,RES_0003,L2,1,True,TR_000162,L2,SUPPORT
TASK_000053,RES_0024,L1,1,True,TR_000163,L1,SUPPORT
TASK_000054,RES_0001,L3,1,True,TR_000164,L3,TECHNICIAN
TASK_000054,RES_0025,L2,1,True,TR_000165,L2,LEAD
TASK_000054,RES_0022,L2,1,True,TR_000166,L2,TECHNICIAN
TASK_000055,RES_0017,L3,1,True,TR_000167,L3,LEAD
TASK_000055,RES_0002,L2,1,True,TR_000168,L2,SUPPORT
TASK_000055,RES_0026,L1,1,True,TR_000169,L1,TECHNICIAN
TASK_000056,RES_0021,L1,1,True,TR_000170,L1,LEAD
TASK_000056,RES_0003,L2,1,True,TR_000171,L2,TECHNICIAN
TASK_000056,RES_0006,L3,1,True,TR_000172,L3,LEAD
TASK_000057,RES_0019,L1,1,True,TR_000173,L1,SUPPORT
TASK_000057,RES_0007,L1,1,True,TR_000174,L1,TECHNICIAN
TASK_000057,RES_0010,L3,1,True,TR_000175,L3,SUPPORT
TASK_000058,RES_0015,L3,1,True,TR_000176,L3,TECHNICIAN
TASK_000058,RES_0030,L3,1,True,TR_000177,L3,TECHNICIAN
TASK_000058,RES_0024,L1,1,True,TR_000178,L1,SUPPORT
TASK_000059,RES_0025,L2,1,True,TR_000179,L2,TECHNICIAN
TASK_000059,RES_0028,L2,1,True,TR_000180,L2,LEAD
TASK_000059,RES_0022,L2,1,True,TR_000181,L2,SUPPORT
TASK_000060,RES_0005,L1,1,True,TR_000182,L1,TECHNICIAN
TASK_000060,RES_0029,L1,1,True,TR_000183,L1,SUPPORT
TASK_000060,RES_0002,L2,1,True,TR_000184,L2,LEAD
TASK_000061,RES_0021,L1,1,False,TR_000185,L1,TECHNICIAN
TASK_000061,RES_0024,L1,1,True,TR_000186,L1,SUPPORT
TASK_000061,RES_0006,L3,1,True,TR_000187,L3,LEAD
TASK_000062,RES_0013,L1,1,True,TR_000188,L1,TECHNICIAN
TASK_000062,RES_0028,L2,1,True,TR_000189,L2,TECHNICIAN
TASK_000062,RES_0022,L2,1,True,TR_000190,L2,TECHNICIAN
TASK_000063,RES_0026,L1,1,False,TR_000191,L1,TECHNICIAN
TASK_000063,RES_0008,L1,1,True,TR_000192,L1,SUPPORT
TASK_000063,RES_0029,L1,1,False,TR_000193,L1,LEAD
TASK_000064,RES_0030,L3,1,True,TR_000194,L3,LEAD
TASK_000064,RES_0021,L1,1,True,TR_000195,L1,LEAD
TASK_000064,RES_0027,L2,1,True,TR_000196,L2,SUPPORT
TASK_000065,RES_0023,L3,1,True,TR_000197,L3,TECHNICIAN
TASK_000065,RES_0026,L1,1,True,TR_000198,L1,TECHNICIAN
TASK_000065,RES_0005,L1,1,False,TR_000199,L1,TECHNICIAN
TASK_000066,RES_0003,L2,1,True,TR_000200,L2,TECHNICIAN
TASK_000066,RES_0030,L3,1,True,TR_000201,L3,LEAD
TASK_000066,RES_0018,L3,1,True,TR_000202,L3,LEAD
TASK_000067,RES_0001,L3,1,True,TR_000203,L3,TECHNICIAN
TASK_000067,RES_0016,L2,1,True,TR_000204,L2,LEAD
TASK_000067,RES_0004,L1,1,False,TR_000205,L1,LEAD
TASK_000068,RES_0029,L1,1,True,TR_000206,L1,SUPPORT
TASK_000068,RES_0008,L1,1,True,TR_000207,L1,TECHNICIAN
TASK_000068,RES_0005,L1,1,True,TR_000208,L1,SUPPORT
TASK_000069,RES_0021,L1,1,True,TR_000209,L1,TECHNICIAN
TASK_000069,RES_0003,L2,1,True,TR_000210,L2,SUPPORT
TASK_000069,RES_0009,L3,1,True,TR_000211,L3,SUPPORT
TASK_000070,RES_0007,L1,1,False,TR_000212,L1,TECHNICIAN
TASK_000070,RES_0001,L3,1,True,TR_000213,L3,LEAD
TASK_000070,RES_0013,L1,1,False,TR_000214,L1,LEAD
TASK_000071,RES_0005,L1,1,True,TR_000215,L1,TECHNICIAN
TASK_000071,RES_0023,L3,1,True,TR_000216,L3,TECHNICIAN
TASK_000071,RES_0002,L2,1,True,TR_000217,L2,TECHNICIAN
TASK_000072,RES_0016,L2,1,True,TR_000218,L2,TECHNICIAN
TASK_000072,RES_0028,L2,1,False,TR_000219,L2,TECHNICIAN
TASK_000072,RES_0022,L2,1,True,TR_000220,L2,LEAD
TASK_000073,RES_0014,L1,1,True,TR_000221,L1,SUPPORT
TASK_000073,RES_0008,L1,1,True,TR_000222,L1,TECHNICIAN
TASK_000073,RES_0029,L1,1,False,TR_000223,L1,TECHNICIAN
TASK_000074,RES_0009,L3,1,True,TR_000224,L3,LEAD
TASK_000074,RES_0015,L3,1,True,TR_000225,L3,TECHNICIAN
TASK_000074,RES_0030,L3,1,True,TR_000226,L3,LEAD
TASK_000075,RES_0001,L3,1,True,TR_000227,L3,LEAD
TASK_000075,RES_0010,L3,1,True,TR_000228,L3,LEAD
TASK_000075,RES_0025,L2,1,True,TR_000229,L2,LEAD
TASK_000076,RES_0002,L2,1,True,TR_000230,L2,TECHNICIAN
TASK_000076,RES_0008,L1,1,True,TR_000231,L1,SUPPORT
TASK_000076,RES_0023,L3,1,True,TR_000232,L3,SUPPORT
TASK_000077,RES_0015,L3,1,True,TR_000233,L3,TECHNICIAN
TASK_000077,RES_0024,L1,1,True,TR_000234,L1,LEAD
TASK_000077,RES_0021,L1,1,True,TR_000235,L1,SUPPORT
TASK_000078,RES_0022,L2,1,True,TR_000236,L2,TECHNICIAN
TASK_000078,RES_0004,L1,1,True,TR_000237,L1,TECHNICIAN
TASK_000078,RES_0016,L2,1,False,TR_000238,L2,SUPPORT
TASK_000079,RES_0024,L1,1,True,TR_000239,L1,SUPPORT
TASK_000079,RES_0021,L1,1,True,TR_000240,L1,TECHNICIAN
TASK_000079,RES_0012,L1,1,True,TR_000241,L1,LEAD
TASK_000080,RES_0025,L2,1,True,TR_000242,L2,TECHNICIAN
TASK_000080,RES_0001,L3,1,True,TR_000243,L3,TECHNICIAN
TASK_000080,RES_0013,L1,1,True,TR_000244,L1,SUPPORT
TASK_000081,RES_0002,L2,1,True,TR_000245,L2,LEAD
TASK_000081,RES_0017,L3,1,True,TR_000246,L3,TECHNICIAN
TASK_000081,RES_0014,L1,1,True,TR_000247,L1,SUPPORT
TASK_000082,RES_0015,L3,1,True,TR_000248,L3,TECHNICIAN
TASK_000082,RES_0021,L1,1,True,TR_000249,L1,TECHNICIAN
TASK_000082,RES_0012,L1,1,True,TR_000250,L1,TECHNICIAN
TASK_000083,RES_0010,L3,1,True,TR_000251,L3,TECHNICIAN
TASK_000083,RES_0001,L3,1,True,TR_000252,L3,LEAD
TASK_000083,RES_0004,L1,1,True,TR_000253,L1,SUPPORT
TASK_000084,RES_0008,L1,1,True,TR_000254,L1,LEAD
TASK_000084,RES_0011,L1,1,True,TR_000255,L1,SUPPORT
TASK_000084,RES_0002,L2,1,True,TR_000256,L2,SUPPORT
TASK_000085,RES_0024,L1,1,True,TR_000257,L1,SUPPORT
TASK_000085,RES_0021,L1,1,False,TR_000258,L1,TECHNICIAN
TASK_000085,RES_0027,L2,1,False,TR_000259,L2,SUPPORT
TASK_000086,RES_0014,L1,1,True,TR_000260,L1,LEAD
TASK_000086,RES_0023,L3,1,True,TR_000261,L3,LEAD
TASK_000086,RES_0008,L1,1,False,TR_000262,L1,LEAD
TASK_000087,RES_0006,L3,1,False,TR_000263,L3,TECHNICIAN
TASK_000087,RES_0009,L3,1,True,TR_000264,L3,SUPPORT
TASK_000087,RES_0012,L1,1,True,TR_000265,L1,TECHNICIAN
TASK_000087,RES_0015,L3,1,False,TR_000266,L3,TECHNICIAN
TASK_000087,RES_0021,L1,1,True,TR_000267,L1,TECHNICIAN
TASK_000088,RES_0010,L3,1,True,TR_000268,L3,LEAD
TASK_000088,RES_0019,L1,1,True,TR_000269,L1,TECHNICIAN
TASK_000088,RES_0025,L2,1,True,TR_000270,L2,SUPPORT
TASK_000089,RES_0002,L2,1,False,TR_000271,L2,TECHNICIAN
TASK_000089,RES_0011,L1,1,True,TR_000272,L1,TECHNICIAN
TASK_000089,RES_0005,L1,1,False,TR_000273,L1,TECHNICIAN
TASK_000090,RES_0003,L2,1,True,TR_000274,L2,LEAD
TASK_000090,RES_0012,L1,1,True,TR_000275,L1,SUPPORT
TASK_000090,RES_0030,L3,1,True,TR_000276,L3,TECHNICIAN
TASK_000091,RES_0028,L2,1,False,TR_000277,L2,TECHNICIAN
TASK_000091,RES_0022,L2,1,False,TR_000278,L2,TECHNICIAN
TASK_000091,RES_0025,L2,1,True,TR_000279,L2,TECHNICIAN
TASK_000092,RES_0017,L3,1,True,TR_000280,L3,TECHNICIAN
TASK_000092,RES_0002,L2,1,True,TR_000281,L2,TECHNICIAN
TASK_000092,RES_0011,L1,1,True,TR_000282,L1,LEAD
TASK_000093,RES_0001,L3,1,True,TR_000283,L3,SUPPORT
TASK_000093,RES_0004,L1,1,True,TR_000284,L1,TECHNICIAN
TASK_000093,RES_0019,L1,1,False,TR_000285,L1,SUPPORT
TASK_000094,RES_0020,L1,1,True,TR_000286,L1,SUPPORT
TASK_000094,RES_0008,L1,1,True,TR_000287,L1,TECHNICIAN
TASK_000094,RES_0005,L1,1,True,TR_000288,L1,TECHNICIAN
TASK_000095,RES_0027,L2,1,True,TR_000289,L2,SUPPORT
TASK_000095,RES_0003,L2,1,True,TR_000290,L2,SUPPORT
TASK_000095,RES_0015,L3,1,True,TR_000291,L3,SUPPORT
TASK_000096,RES_0022,L2,1,True,TR_000292,L2,LEAD
TASK_000096,RES_0004,L1,1,True,TR_000293,L1,LEAD
TASK_000096,RES_0025,L2,1,True,TR_000294,L2,TECHNICIAN
TASK_000097,RES_0029,L1,1,True,TR_000295,L1,LEAD
TASK_000097,RES_0008,L1,1,True,TR_000296,L1,SUPPORT
TASK_000097,RES_0020,L1,1,False,TR_000297,L1,SUPPORT
TASK_000098,RES_0009,L3,1,True,TR_000298,L3,TECHNICIAN
TASK_000098,RES_0024,L1,1,True,TR_000299,L1,TECHNICIAN
TASK_000098,RES_0006,L3,1,True,TR_000300,L3,LEAD
TASK_000099,RES_0028,L2,1,True,TR_000301,L2,TECHNICIAN
TASK_000099,RES_0013,L1,1,True,TR_000302,L1,TECHNICIAN
TASK_000099,RES_0016,L2,1,True,TR_000303,L2,SUPPORT
TASK_000100,RES_0020,L1,1,True,TR_000304,L1,TECHNICIAN
TASK_000100,RES_0029,L1,1,True,TR_000305,L1,SUPPORT
TASK_000100,RES_0023,L3,1,False,TR_000306,L3,TECHNICIAN
TASK_000101,RES_0007,L1,1,True,TR_000307,L1,SUPPORT
TASK_000101,RES_0025,L2,1,True,TR_000308,L2,LEAD
TASK_000101,RES_0022,L2,1,True,TR_000309,L2,LEAD
TASK_000101,RES_0019,L1,1,True,TR_000310,L1,SUPPORT
TASK_000101,RES_0004,L1,1,True,TR_000311,L1,LEAD
TASK_000102,RES_0020,L1,1,True,TR_000312,L1,SUPPORT
TASK_000102,RES_0023,L3,1,True,TR_000313,L3,TECHNICIAN
TASK_000102,RES_0005,L1,1,True,TR_000314,L1,SUPPORT
TASK_000103,RES_0024,L1,1,True,TR_000315,L1,TECHNICIAN
TASK_000103,RES_0003,L2,1,False,TR_000316,L2,SUPPORT
TASK_000103,RES_0018,L3,1,True,TR_000317,L3,SUPPORT
TASK_000104,RES_0016,L2,1,True,TR_000318,L2,SUPPORT
TASK_000104,RES_0013,L1,1,True,TR_000319,L1,LEAD
TASK_000104,RES_0028,L2,1,True,TR_000320,L2,SUPPORT
TASK_000105,RES_0029,L1,1,True,TR_000321,L1,TECHNICIAN
TASK_000105,RES_0020,L1,1,True,TR_000322,L1,SUPPORT
TASK_000105,RES_0014,L1,1,False,TR_000323,L1,SUPPORT
TASK_000106,RES_0012,L1,1,True,TR_000324,L1,LEAD
TASK_000106,RES_0021,L1,1,True,TR_000325,L1,TECHNICIAN
TASK_000106,RES_0018,L3,1,False,TR_000326,L3,LEAD
TASK_000107,RES_0004,L1,1,True,TR_000327,L1,TECHNICIAN
TASK_000107,RES_0007,L1,1,True,TR_000328,L1,LEAD
TASK_000107,RES_0001,L3,1,True,TR_000329,L3,SUPPORT
TASK_000108,RES_0006,L3,1,False,TR_000330,L3,SUPPORT
TASK_000108,RES_0030,L3,1,True,TR_000331,L3,SUPPORT
TASK_000108,RES_0009,L3,1,True,TR_000332,L3,TECHNICIAN
TASK_000109,RES_0007,L1,1,True,TR_000333,L1,TECHNICIAN
TASK_000109,RES_0019,L1,1,True,TR_000334,L1,SUPPORT
TASK_000109,RES_0010,L3,1,False,TR_000335,L3,LEAD
TASK_000110,RES_0005,L1,1,True,TR_000336,L1,LEAD
TASK_000110,RES_0008,L1,1,False,TR_000337,L1,SUPPORT
TASK_000110,RES_0002,L2,1,True,TR_000338,L2,TECHNICIAN
TASK_000111,RES_0024,L1,1,True,TR_000339,L1,TECHNICIAN
TASK_000111,RES_0021,L1,1,True,TR_000340,L1,TECHNICIAN
TASK_000111,RES_0027,L2,1,False,TR_000341,L2,TECHNICIAN
TASK_000112,RES_0022,L2,1,True,TR_000342,L2,TECHNICIAN
TASK_000112,RES_0013,L1,1,True,TR_000343,L1,SUPPORT
TASK_000112,RES_0010,L3,1,True,TR_000344,L3,SUPPORT
TASK_000113,RES_0008,L1,1,True,TR_000345,L1,SUPPORT
TASK_000113,RES_0029,L1,1,True,TR_000346,L1,LEAD
TASK_000113,RES_0026,L1,1,True,TR_000347,L1,SUPPORT
TASK_000114,RES_0009,L3,1,False,TR_000348,L3,SUPPORT
TASK_000114,RES_0027,L2,1,True,TR_000349,L2,SUPPORT
TASK_000114,RES_0015,L3,1,False,TR_000350,L3,SUPPORT
TASK_000115,RES_0026,L1,1,True,TR_000351,L1,SUPPORT
TASK_000115,RES_0020,L1,1,True,TR_000352,L1,LEAD
TASK_000115,RES_0008,L1,1,False,TR_000353,L1,SUPPORT
TASK_000116,RES_0030,L3,1,True,TR_000354,L3,TECHNICIAN
TASK_000116,RES_0009,L3,1,True,TR_000355,L3,SUPPORT
TASK_000116,RES_0027,L2,1,False,TR_000356,L2,SUPPORT
TASK_000117,RES_0025,L2,1,True,TR_000357,L2,LEAD
TASK_000117,RES_0028,L2,1,True,TR_000358,L2,TECHNICIAN
TASK_000117,RES_0022,L2,1,True,TR_000359,L2,LEAD
TASK_000118,RES_0017,L3,1,True,TR_000360,L3,LEAD
TASK_000118,RES_0023,L3,1,True,TR_000361,L3,SUPPORT
TASK_000118,RES_0008,L1,1,True,TR_000362,L1,TECHNICIAN
TASK_000118,RES_0011,L1,1,True,TR_000363,L1,SUPPORT
TASK_000119,RES_0006,L3,1,True,TR_000364,L3,LEAD
TASK_000119,RES_0015,L3,1,True,TR_000365,L3,SUPPORT
TASK_000119,RES_0030,L3,1,True,TR_000366,L3,TECHNICIAN
TASK_000120,RES_0007,L1,1,True,TR_000367,L1,TECHNICIAN
TASK_000120,RES_0016,L2,1,True,TR_000368,L2,LEAD
TASK_000120,RES_0025,L2,1,True,TR_000369,L2,LEAD
TASK_000121,RES_0008,L1,1,True,TR_000370,L1,TECHNICIAN
TASK_000121,RES_0026,L1,1,True,TR_000371,L1,TECHNICIAN
TASK_000121,RES_0029,L1,1,False,TR_000372,L1,SUPPORT
TASK_000122,RES_0007,L1,1,True,TR_000373,L1,SUPPORT
TASK_000122,RES_0019,L1,1,True,TR_000374,L1,LEAD
TASK_000122,RES_0004,L1,1,False,TR_000375,L1,TECHNICIAN
TASK_000123,RES_0029,L1,1,True,TR_000376,L1,TECHNICIAN
TASK_000123,RES_0020,L1,1,False,TR_000377,L1,LEAD
TASK_000123,RES_0011,L1,1,True,TR_000378,L1,TECHNICIAN
TASK_000124,RES_0015,L3,1,True,TR_000379,L3,SUPPORT
TASK_000124,RES_0003,L2,1,True,TR_000380,L2,LEAD
TASK_000124,RES_0021,L1,1,True,TR_000381,L1,TECHNICIAN
TASK_000125,RES_0028,L2,1,False,TR_000382,L2,SUPPORT
TASK_000125,RES_0022,L2,1,True,TR_000383,L2,LEAD
TASK_000125,RES_0016,L2,1,True,TR_000384,L2,SUPPORT
TASK_000126,RES_0029,L1,1,False,TR_000385,L1,TECHNICIAN
