defect_id,asset_id,department,section_id,location_code,defect_type,severity,urgency,reported_time,status,target_resolution_time,is_overdue,repeat_defect,estimated_impact,recommended_action
DEF_000051,AST_000012,S&T,SEC_002,LOC_002,ELECTRICAL_FAULT,HIGH,HIGH,2026-07-31,MONITORED,12:00,TRUE,FALSE,0.335,REPAIR
DEF_000052,AST_000023,TRD,SEC_003,LOC_003,ELECTRICAL_FAULT,HIGH,HIGH,2026-08-01,MONITORED,12:00,TRUE,TRUE,0.189,REPLACE
DEF_000053,AST_000034,ENGINEERING,SEC_004,LOC_004,ALIGNMENT,LOW,LOW,2026-08-06,OPEN,72:00,TRUE,TRUE,0.671,REPLACE
DEF_000054,AST_000045,S&T,SEC_005,LOC_006,OTHER,CRITICAL,CRITICAL,2026-06-14,OPEN,04:00,TRUE,TRUE,0.238,INSPECT
DEF_000055,AST_000006,S&T,SEC_006,LOC_007,OTHER,HIGH,HIGH,2026-08-20,MONITORED,12:00,TRUE,FALSE,0.816,REPLACE
DEF_000056,AST_000017,TRD,SEC_007,LOC_007,INSULATION_DEGRADATION,CRITICAL,CRITICAL,2026-08-24,OPEN,04:00,TRUE,FALSE,0.826,INSPECT
DEF_000057,AST_000028,ENGINEERING,SEC_008,LOC_009,OTHER,HIGH,HIGH,2026-04-20,MONITORED,12:00,TRUE,FALSE,0.16,TEST
DEF_000058,AST_000039,S&T,SEC_009,LOC_010,ELECTRICAL_FAULT,LOW,LOW,2026-08-11,OPEN,72:00,TRUE,FALSE,0.609,INSPECT
DEF_000059,AST_000050,TRD,SEC_010,LOC_005,INSULATION_DEGRADATION,LOW,LOW,2026-07-31,OPEN,72:00,TRUE,FALSE,0.475,TEST
DEF_000060,AST_000011,TRD,SEC_001,LOC_002,OTHER,HIGH,HIGH,2026-07-26,OPEN,12:00,TRUE,TRUE,0.168,REPAIR
DEF_000061,AST_000022,ENGINEERING,SEC_002,LOC_002,CORROSION,CRITICAL,CRITICAL,2026-07-17,OPEN,04:00,TRUE,FALSE,0.172,REPLACE
DEF_000062,AST_000033,S&T,SEC_003,LOC_003,OTHER,LOW,LOW,2026-07-29,OPEN,72:00,TRUE,FALSE,0.849,INSPECT
DEF_000063,AST_000044,TRD,SEC_004,LOC_004,OTHER,HIGH,HIGH,2026-06-17,OPEN,12:00,TRUE,FALSE,0.494,TEST
DEF_000064,AST_000005,TRD,SEC_005,LOC_006,ELECTRICAL_FAULT,LOW,LOW,2026-07-26,OPEN,72:00,TRUE,TRUE,0.724,TEST
DEF_000065,AST_000016,ENGINEERING,SEC_006,LOC_006,CORROSION,CRITICAL,CRITICAL,2026-06-17,OPEN,04:00,TRUE,FALSE,0.777,REPLACE
DEF_000066,AST_000027,S&T,SEC_007,LOC_007,SIGNAL_FAULT,MEDIUM,MEDIUM,2026-07-30,OPEN,24:00,TRUE,FALSE,0.365,INSPECT
DEF_000067,AST_000038,TRD,SEC_008,LOC_008,OTHER,HIGH,HIGH,2026-09-02,OPEN,12:00,TRUE,FALSE,0.77,TEST
DEF_000068,AST_000049,ENGINEERING,SEC_009,LOC_010,INSULATION_DEGRADATION,MEDIUM,MEDIUM,2026-06-01,OPEN,24:00,TRUE,FALSE,0.463,TEST
DEF_000069,AST_000010,ENGINEERING,SEC_010,LOC_011,ALIGNMENT,MEDIUM,MEDIUM,2026-09-06,RESOLVED,24:00,FALSE,FALSE,0.489,INSPECT
DEF_000070,AST_000021,S&T,SEC_001,LOC_001,SIGNAL_FAULT,LOW,LOW,2026-06-19,RESOLVED,72:00,FALSE,FALSE,0.63,REPAIR
DEF_000071,AST_000032,TRD,SEC_002,LOC_002,SIGNAL_FAULT,MEDIUM,MEDIUM,2026-07-10,OPEN,24:00,TRUE,FALSE,0.884,REPLACE
DEF_000072,AST_000043,ENGINEERING,SEC_003,LOC_004,CORROSION,MEDIUM,MEDIUM,2026-05-28,RESOLVED,24:00,FALSE,FALSE,0.401,INSPECT
DEF_000073,AST_000004,ENGINEERING,SEC_004,LOC_005,ELECTRICAL_FAULT,MEDIUM,MEDIUM,2026-04-20,OPEN,24:00,TRUE,TRUE,0.537,REPLACE
DEF_000074,AST_000015,S&T,SEC_005,LOC_005,CORROSION,HIGH,HIGH,2026-08-10,OPEN,12:00,TRUE,TRUE,0.775,REPAIR
DEF_000075,AST_000026,TRD,SEC_006,LOC_006,CORROSION,HIGH,HIGH,2026-07-21,MONITORED,12:00,TRUE,FALSE,0.298,INSPECT
DEF_000076,AST_000037,ENGINEERING,SEC_007,LOC_008,OTHER,HIGH,HIGH,2026-09-05,RESOLVED,12:00,FALSE,FALSE,0.346,REPAIR
DEF_000077,AST_000048,S&T,SEC_008,LOC_009,WEAR,LOW,LOW,2026-09-06,OPEN,72:00,TRUE,TRUE,0.142,TEST
DEF_000078,AST_000009,S&T,SEC_009,LOC_010,ELECTRICAL_FAULT,HIGH,HIGH,2026-08-24,OPEN,12:00,TRUE,FALSE,0.382,REPAIR
DEF_000079,AST_000020,TRD,SEC_010,LOC_005,WEAR,HIGH,HIGH,2026-06-23,OPEN,12:00,TRUE,TRUE,0.707,REPLACE
DEF_000080,AST_000031,ENGINEERING,SEC_001,LOC_002,ELECTRICAL_FAULT,LOW,LOW,2026-06-08,MONITORED,72:00,TRUE,TRUE,0.226,REPAIR
DEF_000081,AST_000042,S&T,SEC_002,LOC_002,INSULATION_DEGRADATION,MEDIUM,MEDIUM,2026-08-28,OPEN,24:00,TRUE,TRUE,0.627,REPLACE
DEF_000082,AST_000003,S&T,SEC_003,LOC_004,ALIGNMENT,HIGH,HIGH,2026-09-04,OPEN,12:00,TRUE,TRUE,0.842,REPLACE
DEF_000083,AST_000014,TRD,SEC_004,LOC_005,OTHER,HIGH,HIGH,2026-04-15,OPEN,12:00,TRUE,FALSE,0.489,REPAIR
DEF_000084,AST_000025,ENGINEERING,SEC_005,LOC_006,INSULATION_DEGRADATION,MEDIUM,MEDIUM,2026-05-25,OPEN,24:00,TRUE,FALSE,0.666,TEST
DEF_000085,AST_000036,S&T,SEC_006,LOC_007,OTHER,HIGH,HIGH,2026-03-23,RESOLVED,12:00,FALSE,TRUE,0.872,REPLACE
DEF_000086,AST_000047,TRD,SEC_007,LOC_008,CORROSION,HIGH,HIGH,2026-03-31,RESOLVED,12:00,FALSE,TRUE,0.884,TEST
DEF_000087,AST_000008,TRD,SEC_008,LOC_008,ALIGNMENT,HIGH,HIGH,2026-06-21,OPEN,12:00,TRUE,TRUE,0.761,INSPECT
DEF_000088,AST_000019,ENGINEERING,SEC_009,LOC_009,ALIGNMENT,LOW,LOW,2026-07-02,OPEN,72:00,TRUE,FALSE,0.194,REPAIR
DEF_000089,AST_000030,S&T,SEC_010,LOC_005,INSULATION_DEGRADATION,MEDIUM,MEDIUM,2026-06-24,MONITORED,24:00,TRUE,TRUE,0.198,REPLACE
DEF_000090,AST_000041,TRD,SEC_001,LOC_001,SIGNAL_FAULT,HIGH,HIGH,2026-06-04,RESOLVED,12:00,FALSE,TRUE,0.178,REPAIR
DEF_000091,AST_000002,TRD,SEC_002,LOC_002,OTHER,HIGH,HIGH,2026-08-29,RESOLVED,12:00,FALSE,FALSE,0.746,REPLACE
DEF_000092,AST_000013,ENGINEERING,SEC_003,LOC_004,SIGNAL_FAULT,MEDIUM,MEDIUM,2026-08-26,RESOLVED,24:00,FALSE,FALSE,0.76,REPLACE
DEF_000093,AST_000024,S&T,SEC_004,LOC_005,ALIGNMENT,HIGH,HIGH,2026-09-11,OPEN,12:00,TRUE,TRUE,0.546,INSPECT
DEF_000094,AST_000035,TRD,SEC_005,LOC_006,CORROSION,HIGH,HIGH,2026-07-17,OPEN,12:00,TRUE,FALSE,0.547,INSPECT
DEF_000095,AST_000046,ENGINEERING,SEC_006,LOC_007,OTHER,MEDIUM,MEDIUM,2026-05-05,OPEN,24:00,TRUE,TRUE,0.234,INSPECT
DEF_000096,AST_000007,ENGINEERING,SEC_007,LOC_008,ELECTRICAL_FAULT,HIGH,HIGH,2026-09-04,MONITORED,12:00,TRUE,FALSE,0.278,INSPECT
DEF_000097,AST_000018,S&T,SEC_008,LOC_009,ELECTRICAL_FAULT,LOW,LOW,2026-04-25,OPEN,72:00,TRUE,FALSE,0.634,REPAIR
DEF_000098,AST_000029,TRD,SEC_009,LOC_010,INSULATION_DEGRADATION,MEDIUM,MEDIUM,2026-04-22,OPEN,24:00,TRUE,FALSE,0.542,TEST
DEF_000099,AST_000040,ENGINEERING,SEC_010,LOC_005,CORROSION,HIGH,HIGH,2026-04-19,OPEN,12:00,TRUE,FALSE,0.829,REPAIR
DEF_000100,AST_000001,ENGINEERING,SEC_001,LOC_001,INSULATION_DEGRADATION,HIGH,HIGH,2026-03-21,OPEN,12:00,TRUE,TRUE,0.129,REPLACE
DEF_000101,AST_000012,S&T,SEC_002,LOC_002,WEAR,MEDIUM,MEDIUM,2026-07-07,RESOLVED,24:00,FALSE,TRUE,0.834,INSPECT
DEF_000102,AST_000023,TRD,SEC_003,LOC_003,INSULATION_DEGRADATION,HIGH,HIGH,2026-07-21,MONITORED,12:00,TRUE,FALSE,0.718,INSPECT
DEF_000103,AST_000034,ENGINEERING,SEC_004,LOC_004,INSULATION_DEGRADATION,MEDIUM,MEDIUM,2026-08-08,OPEN,24:00,TRUE,TRUE,0.63,INSPECT
DEF_000104,AST_000045,S&T,SEC_005,LOC_006,INSULATION_DEGRADATION,MEDIUM,MEDIUM,2026-05-01,OPEN,24:00,TRUE,FALSE,0.225,INSPECT
DEF_000105,AST_000006,S&T,SEC_006,LOC_007,ELECTRICAL_FAULT,HIGH,HIGH,2026-08-14,OPEN,12:00,TRUE,FALSE,0.517,TEST
DEF_000106,AST_000017,TRD,SEC_007,LOC_007,CORROSION,HIGH,HIGH,2026-06-04,OPEN,12:00,TRUE,TRUE,0.498,REPLACE
DEF_000107,AST_000028,ENGINEERING,SEC_008,LOC_009,CORROSION,HIGH,HIGH,2026-05-18,RESOLVED,12:00,FALSE,FALSE,0.207,TEST
DEF_000108,AST_000039,S&T,SEC_009,LOC_010,OTHER,MEDIUM,MEDIUM,2026-04-21,RESOLVED,24:00,FALSE,TRUE,0.058,REPLACE
DEF_000109,AST_000050,TRD,SEC_010,LOC_005,ALIGNMENT,LOW,LOW,2026-08-20,OPEN,72:00,TRUE,FALSE,0.177,REPAIR
DEF_000110,AST_000011,TRD,SEC_001,LOC_002,SIGNAL_FAULT,CRITICAL,CRITICAL,2026-08-29,RESOLVED,04:00,FALSE,FALSE,0.207,REPLACE
DEF_000111,AST_000022,ENGINEERING,SEC_002,LOC_002,INSULATION_DEGRADATION,CRITICAL,CRITICAL,2026-04-30,OPEN,04:00,TRUE,FALSE,0.102,REPLACE
DEF_000112,AST_000033,S&T,SEC_003,LOC_003,ELECTRICAL_FAULT,MEDIUM,MEDIUM,2026-08-05,OPEN,24:00,TRUE,TRUE,0.765,INSPECT
DEF_000113,AST_000044,TRD,SEC_004,LOC_004,CORROSION,MEDIUM,MEDIUM,2026-08-22,OPEN,24:00,TRUE,FALSE,0.184,REPLACE
DEF_000114,AST_000005,TRD,SEC_005,LOC_006,ELECTRICAL_FAULT,CRITICAL,CRITICAL,2026-09-11,MONITORED,04:00,TRUE,TRUE,0.822,INSPECT
DEF_000115,AST_000016,ENGINEERING,SEC_006,LOC_006,WEAR,LOW,LOW,2026-06-25,RESOLVED,72:00,FALSE,TRUE,0.288,REPAIR
DEF_000116,AST_000027,S&T,SEC_007,LOC_007,ELECTRICAL_FAULT,MEDIUM,MEDIUM,2026-08-08,MONITORED,24:00,TRUE,FALSE,0.924,INSPECT
DEF_000117,AST_000038,TRD,SEC_008,LOC_008,WEAR,MEDIUM,MEDIUM,2026-05-31,MONITORED,24:00,TRUE,FALSE,0.546,REPLACE
DEF_000118,AST_000049,ENGINEERING,SEC_009,LOC_010,CORROSION,LOW,LOW,2026-05-12,OPEN,72:00,TRUE,TRUE,0.827,TEST
DEF_000119,AST_000010,ENGINEERING,SEC_010,LOC_011,WEAR,HIGH,HIGH,2026-04-09,OPEN,12:00,TRUE,FALSE,0.208,INSPECT
DEF_000120,AST_000021,S&T,SEC_001,LOC_001,ALIGNMENT,HIGH,HIGH,2026-08-20,MONITORED,12:00,TRUE,TRUE,0.228,INSPECT
DEF_000121,AST_000032,TRD,SEC_002,LOC_002,OTHER,HIGH,HIGH,2026-05-12,OPEN,12:00,TRUE,TRUE,0.831,REPLACE
DEF_000122,AST_000043,ENGINEERING,SEC_003,LOC_004,SIGNAL_FAULT,MEDIUM,MEDIUM,2026-07-07,OPEN,24:00,TRUE,TRUE,0.465,REPAIR
DEF_000123,AST_000004,ENGINEERING,SEC_004,LOC_005,SIGNAL_FAULT,LOW,LOW,2026-05-17,OPEN,72:00,TRUE,FALSE,0.904,REPAIR
DEF_000124,AST_000015,S&T,SEC_005,LOC_005,CORROSION,MEDIUM,MEDIUM,2026-05-08,OPEN,24:00,TRUE,TRUE,0.718,REPAIR
DEF_000125,AST_000026,TRD,SEC_006,LOC_006,SIGNAL_FAULT,HIGH,HIGH,2026-05-16,OPEN,12:00,TRUE,TRUE,0.348,TEST
DEF_000126,AST_000037,ENGINEERING,SEC_007,LOC_008,ALIGNMENT,MEDIUM,MEDIUM,2026-07-25,MONITORED,24:00,TRUE,TRUE,0.52,REPAIR
DEF_000127,AST_000048,S&T,SEC_008,LOC_009,SIGNAL_FAULT,HIGH,HIGH,2026-08-12,RESOLVED,12:00,FALSE,FALSE,0.175,REPLACE
DEF_000128,AST_000009,S&T,SEC_009,LOC_010,SIGNAL_FAULT,MEDIUM,MEDIUM,2026-04-19,RESOLVED,24:00,FALSE,FALSE,0.079,REPLACE
DEF_000129,AST_000020,TRD,SEC_010,LOC_005,OTHER,HIGH,HIGH,2026-07-08,OPEN,12:00,TRUE,TRUE,0.57,REPAIR
DEF_000130,AST_000031,ENGINEERING,SEC_001,LOC_002,ALIGNMENT,LOW,LOW,2026-07-13,RESOLVED,72:00,FALSE,FALSE,0.148,REPAIR
DEF_000131,AST_000042,S&T,SEC_002,LOC_002,SIGNAL_FAULT,LOW,LOW,2026-06-09,OPEN,72:00,TRUE,FALSE,0.633,TEST
DEF_000132,AST_000003,S&T,SEC_003,LOC_004,OTHER,MEDIUM,MEDIUM,2026-07-07,RESOLVED,24:00,FALSE,FALSE,0.661,REPLACE
DEF_000133,AST_000014,TRD,SEC_004,LOC_005,INSULATION_DEGRADATION,MEDIUM,MEDIUM,2026-05-22,MONITORED,24:00,TRUE,FALSE,0.782,REPLACE
DEF_000134,AST_000025,ENGINEERING,SEC_005,LOC_006,OTHER,LOW,LOW,2026-04-08,OPEN,72:00,TRUE,FALSE,0.234,TEST
DEF_000135,AST_000036,S&T,SEC_006,LOC_007,ELECTRICAL_FAULT,MEDIUM,MEDIUM,2026-07-28,OPEN,24:00,TRUE,FALSE,0.373,INSPECT
DEF_000136,AST_000047,TRD,SEC_007,LOC_008,ELECTRICAL_FAULT,MEDIUM,MEDIUM,2026-06-19,OPEN,24:00,TRUE,FALSE,0.704,TEST
DEF_000137,AST_000008,TRD,SEC_008,LOC_008,ALIGNMENT,HIGH,HIGH,2026-08-29,OPEN,12:00,TRUE,TRUE,0.648,REPLACE
DEF_000138,AST_000019,ENGINEERING,SEC_009,LOC_009,WEAR,CRITICAL,CRITICAL,2026-03-20,OPEN,04:00,TRUE,TRUE,0.824,REPAIR
DEF_000139,AST_000030,S&T,SEC_010,LOC_005,OTHER,MEDIUM,MEDIUM,2026-06-22,OPEN,24:00,TRUE,FALSE,0.745,TEST
DEF_000140,AST_000041,TRD,SEC_001,LOC_001,SIGNAL_FAULT,LOW,LOW,2026-04-23,MONITORED,72:00,TRUE,TRUE,0.843,INSPECT
DEF_000141,AST_000002,TRD,SEC_002,LOC_002,ALIGNMENT,MEDIUM,MEDIUM,2026-04-09,OPEN,24:00,TRUE,FALSE,0.944,INSPECT
DEF_000142,AST_000013,ENGINEERING,SEC_003,LOC_004,WEAR,MEDIUM,MEDIUM,2026-05-14,OPEN,24:00,TRUE,FALSE,0.27,TEST
DEF_000143,AST_000024,S&T,SEC_004,LOC_005,CORROSION,MEDIUM,MEDIUM,2026-03-23,OPEN,24:00,TRUE,FALSE,0.24,TEST
DEF_000144,AST_000035,TRD,SEC_005,LOC_006,WEAR,MEDIUM,MEDIUM,2026-03-22,OPEN,24:00,TRUE,FALSE,0.1,INSPECT
DEF_000145,AST_000046,ENGINEERING,SEC_006,LOC_007,OTHER,MEDIUM,MEDIUM,2026-05-05,OPEN,24:00,TRUE,TRUE,0.793,TEST
DEF_000146,AST_000007,ENGINEERING,SEC_007,LOC_008,WEAR,MEDIUM,MEDIUM,2026-03-19,MONITORED,24:00,TRUE,FALSE,0.139,REPLACE
DEF_000147,AST_000018,S&T,SEC_008,LOC_009,SIGNAL_FAULT,MEDIUM,MEDIUM,2026-07-17,OPEN,24:00,TRUE,FALSE,0.745,TEST
DEF_000148,AST_000029,TRD,SEC_009,LOC_010,ALIGNMENT,MEDIUM,MEDIUM,2026-06-18,OPEN,24:00,TRUE,FALSE,0.893,INSPECT
DEF_000149,AST_000040,ENGINEERING,SEC_010,LOC_005,OTHER,MEDIUM,MEDIUM,2026-07-19,RESOLVED,24:00,FALSE,TRUE,0.101,REPLACE
DEF_000150,AST_000001,ENGINEERING,SEC_001,LOC_001,INSULATION_DEGRADATION,HIGH,HIGH,2026-08-13,OPEN,12:00,TRUE,TRUE,0.65,TEST
DEF_000151,AST_000012,S&T,SEC_002,LOC_002,ALIGNMENT,LOW,LOW,2026-08-05,MONITORED,72:00,TRUE,FALSE,0.64,TEST
DEF_000152,AST_000023,TRD,SEC_003,LOC_003,CORROSION,HIGH,HIGH,2026-03-29,OPEN,12:00,TRUE,TRUE,0.603,REPLACE
DEF_000153,AST_000034,ENGINEERING,SEC_004,LOC_004,INSULATION_DEGRADATION,HIGH,HIGH,2026-08-08,RESOLVED,12:00,FALSE,TRUE,0.934,INSPECT
DEF_000154,AST_000045,S&T,SEC_005,LOC_006,SIGNAL_FAULT,MEDIUM,MEDIUM,2026-07-25,RESOLVED,24:00,FALSE,FALSE,0.463,REPAIR
DEF_000155,AST_000006,S&T,SEC_006,LOC_007,INSULATION_DEGRADATION,MEDIUM,MEDIUM,2026-06-04,OPEN,24:00,TRUE,TRUE,0.484,TEST
DEF_000156,AST_000017,TRD,SEC_007,LOC_007,ALIGNMENT,CRITICAL,CRITICAL,2026-05-24,OPEN,04:00,TRUE,TRUE,0.719,REPAIR
DEF_000157,AST_000028,ENGINEERING,SEC_008,LOC_009,WEAR,MEDIUM,MEDIUM,2026-05-11,OPEN,24:00,TRUE,TRUE,0.393,INSPECT
DEF_000158,AST_000039,S&T,SEC_009,LOC_010,SIGNAL_FAULT,MEDIUM,MEDIUM,2026-04-21,RESOLVED,24:00,FALSE,TRUE,0.822,INSPECT
