task_id,asset_id,department,task_type,maintenance_type,section_id,location_code,description,reported_date,due_date,estimated_duration_min,status,criticality,urgency,operational_impact,can_be_rescheduled,priority_score,priority_category,required_block_type,is_overdue,source_defect_id,base_priority_score,priority_source,priority_override_reason
TASK_000019,AST_000033,S&T,INSPECTION,INSPECTION,SEC_003,LOC_003,Synthetic track_circuit maintenance activity,2026-06-17,2026-09-06,180,SCHEDULED,80.7,72.3,34.2,TRUE,68.48,HIGH,SIGNAL_BLOCK,TRUE,,68.48,RULE_BASED,
TASK_000020,AST_000040,ENGINEERING,REPAIR,REPAIR,SEC_010,LOC_005,Synthetic track maintenance activity,2026-09-02,2026-10-23,180,COMPLETED,49.9,0.0,43.6,FALSE,28.36,LOW,TRAFFIC_BLOCK,FALSE,DEF_000099,28.36,RULE_BASED,
TASK_000021,AST_000047,TRD,REPLACEMENT,REPLACEMENT,SEC_007,LOC_008,Synthetic substation maintenance activity,2026-07-07,2026-10-15,120,COMPLETED,84.5,0.0,55.5,FALSE,43.45,MEDIUM,POWER_BLOCK,FALSE,DEF_000186,43.45,RULE_BASED,
TASK_000022,AST_000004,ENGINEERING,TESTING,TESTING,SEC_004,LOC_005,Synthetic turnout maintenance activity,2026-05-20,2026-08-21,60,PENDING,87.4,100.0,55.7,TRUE,84.52,CRITICAL,TRAFFIC_BLOCK,TRUE,DEF_000123,84.52,RULE_BASED,
TASK_000023,AST_000011,TRD,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_001,LOC_002,Synthetic switching_equipment maintenance activity,2026-09-08,2026-10-01,90,COMPLETED,69.6,48.5,36.2,FALSE,47.96,MEDIUM,POWER_BLOCK,FALSE,,47.96,RULE_BASED,
TASK_000024,AST_000018,S&T,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_008,LOC_009,Synthetic interlocking_equipment maintenance activity,2026-04-19,2026-08-28,120,IN_PROGRESS,94.2,80.0,57.0,FALSE,81.22,CRITICAL,SIGNAL_BLOCK,TRUE,,81.22,RULE_BASED,
TASK_000025,AST_000025,ENGINEERING,INSPECTION,INSPECTION,SEC_005,LOC_006,Synthetic turnout maintenance activity,2026-09-14,2026-09-21,45,PENDING,94.7,71.1,33.7,TRUE,62.9,MEDIUM,TRAFFIC_BLOCK,FALSE,,62.9,RULE_BASED,
TASK_000026,AST_000032,TRD,REPAIR,REPAIR,SEC_002,LOC_002,Synthetic substation maintenance activity,2026-07-19,2026-09-28,120,COMPLETED,72.1,21.6,30.4,FALSE,39.32,LOW,POWER_BLOCK,FALSE,DEF_000221,39.32,RULE_BASED,
TASK_000027,AST_000039,S&T,REPLACEMENT,REPLACEMENT,SEC_009,LOC_010,Synthetic signal maintenance activity,2026-08-19,2026-10-09,75,PENDING,91.8,0.0,72.1,TRUE,50.15,MEDIUM,SIGNAL_BLOCK,FALSE,DEF_000208,50.15,RULE_BASED,
TASK_000028,AST_000046,ENGINEERING,TESTING,TESTING,SEC_006,LOC_007,Synthetic turnout maintenance activity,2026-07-16,2026-08-15,240,PENDING,52.0,100.0,55.9,TRUE,72.18,HIGH,TRAFFIC_BLOCK,TRUE,DEF_000295,72.18,RULE_BASED,
TASK_000029,AST_000003,S&T,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_003,LOC_004,Synthetic relay maintenance activity,2026-07-08,2026-10-21,150,SCHEDULED,55.7,0.0,15.9,TRUE,23.47,LOW,SIGNAL_BLOCK,FALSE,,23.47,RULE_BASED,
TASK_000030,AST_000010,ENGINEERING,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_010,LOC_011,Synthetic points maintenance activity,2026-07-22,2026-08-29,75,CANCELLED,83.3,78.5,75.1,FALSE,81.48,CRITICAL,TRAFFIC_BLOCK,TRUE,DEF_000269,81.48,RULE_BASED,
TASK_000031,AST_000017,TRD,INSPECTION,INSPECTION,SEC_007,LOC_007,Synthetic substation maintenance activity,2026-04-17,2026-08-17,240,COMPLETED,66.6,96.8,17.5,FALSE,66.72,HIGH,POWER_BLOCK,TRUE,,66.72,RULE_BASED,
TASK_000032,AST_000024,S&T,REPAIR,REPAIR,SEC_004,LOC_005,Synthetic interlocking_equipment maintenance activity,2026-08-13,2026-10-09,180,CANCELLED,66.7,14.6,21.0,FALSE,32.97,LOW,SIGNAL_BLOCK,FALSE,DEF_000143,32.97,RULE_BASED,
TASK_000033,AST_000031,ENGINEERING,REPLACEMENT,REPLACEMENT,SEC_001,LOC_002,Synthetic turnout maintenance activity,2026-06-24,2026-08-01,240,IN_PROGRESS,40.4,100.0,25.8,FALSE,60.59,MEDIUM,TRAFFIC_BLOCK,TRUE,,60.59,RULE_BASED,
TASK_000034,AST_000038,TRD,TESTING,TESTING,SEC_008,LOC_008,Synthetic switching_equipment maintenance activity,2026-08-23,2026-08-28,120,IN_PROGRESS,95.1,91.4,51.3,FALSE,83.53,CRITICAL,POWER_BLOCK,TRUE,DEF_000167,83.53,RULE_BASED,
TASK_000035,AST_000045,S&T,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_005,LOC_006,Synthetic signal maintenance activity,2026-07-31,2026-09-21,120,COMPLETED,42.3,100.0,19.9,FALSE,49.78,MEDIUM,SIGNAL_BLOCK,FALSE,,49.78,RULE_BASED,
TASK_000036,AST_000002,TRD,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_002,LOC_002,Synthetic isolator maintenance activity,2026-07-23,2026-09-28,120,SCHEDULED,63.8,74.6,37.2,TRUE,54.01,MEDIUM,POWER_BLOCK,FALSE,DEF_000141,54.01,RULE_BASED,
TASK_000037,AST_000009,S&T,INSPECTION,INSPECTION,SEC_009,LOC_010,Synthetic point_machine maintenance activity,2026-04-22,2026-10-09,90,SCHEDULED,89.0,100.0,51.7,TRUE,74.08,HIGH,SIGNAL_BLOCK,FALSE,,74.08,RULE_BASED,
TASK_000038,AST_000016,ENGINEERING,REPAIR,REPAIR,SEC_006,LOC_006,Synthetic bridge maintenance activity,2026-01-31,2026-10-07,60,SCHEDULED,55.3,16.2,28.0,TRUE,31.21,LOW,TRAFFIC_BLOCK,FALSE,,31.21,RULE_BASED,
TASK_000039,AST_000023,TRD,REPLACEMENT,REPLACEMENT,SEC_003,LOC_003,Synthetic feeder maintenance activity,2026-07-21,2026-10-21,150,PENDING,55.6,2.3,49.7,TRUE,32.58,LOW,POWER_BLOCK,FALSE,DEF_000102,32.58,RULE_BASED,
TASK_000040,AST_000030,S&T,TESTING,TESTING,SEC_010,LOC_005,Synthetic track_circuit maintenance activity,2026-07-18,2026-10-26,90,PENDING,88.6,0.0,25.6,TRUE,37.41,LOW,SIGNAL_BLOCK,FALSE,DEF_000189,37.41,RULE_BASED,
TASK_000041,AST_000037,ENGINEERING,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_007,LOC_008,Synthetic turnout maintenance activity,2026-03-11,2026-08-22,120,PENDING,81.9,92.8,50.4,TRUE,79.1,HIGH,TRAFFIC_BLOCK,TRUE,,79.1,RULE_BASED,
TASK_000042,AST_000044,TRD,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_004,LOC_004,Synthetic substation maintenance activity,2026-08-03,2026-10-05,150,PENDING,56.3,6.9,16.0,TRUE,25.78,LOW,POWER_BLOCK,FALSE,DEF_000213,25.78,RULE_BASED,
TASK_000043,AST_000001,ENGINEERING,INSPECTION,INSPECTION,SEC_001,LOC_001,Synthetic culvert maintenance activity,2026-02-24,2026-10-25,60,COMPLETED,50.3,0.0,50.5,FALSE,30.23,LOW,TRAFFIC_BLOCK,FALSE,,30.23,RULE_BASED,
TASK_000044,AST_000008,TRD,REPAIR,REPAIR,SEC_008,LOC_008,Synthetic feeder maintenance activity,2026-06-21,2026-09-23,120,PENDING,88.0,42.4,38.7,TRUE,53.19,MEDIUM,POWER_BLOCK,FALSE,DEF_000087,53.19,RULE_BASED,
TASK_000045,AST_000015,S&T,REPLACEMENT,REPLACEMENT,SEC_005,LOC_005,Synthetic relay maintenance activity,2026-05-26,2026-10-10,45,COMPLETED,53.9,0.0,30.6,FALSE,26.52,LOW,SIGNAL_BLOCK,FALSE,DEF_000224,26.52,RULE_BASED,
TASK_000046,AST_000022,ENGINEERING,TESTING,TESTING,SEC_002,LOC_002,Synthetic turnout maintenance activity,2026-07-24,2026-10-10,120,COMPLETED,76.5,10.1,31.0,FALSE,37.56,LOW,TRAFFIC_BLOCK,FALSE,DEF_000161,37.56,RULE_BASED,
TASK_000047,AST_000029,TRD,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_009,LOC_010,Synthetic switching_equipment maintenance activity,2026-03-15,2026-08-10,45,COMPLETED,88.2,100.0,38.5,FALSE,80.5,CRITICAL,POWER_BLOCK,TRUE,,80.5,RULE_BASED,
TASK_000048,AST_000036,S&T,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_006,LOC_007,Synthetic signal maintenance activity,2026-05-21,2026-08-07,180,PENDING,78.2,100.0,74.4,TRUE,85.97,CRITICAL,SIGNAL_BLOCK,TRUE,DEF_000185,85.97,RULE_BASED,
TASK_000049,AST_000043,ENGINEERING,INSPECTION,INSPECTION,SEC_003,LOC_004,Synthetic turnout maintenance activity,2026-03-21,2026-09-02,180,CANCELLED,70.1,62.5,39.5,FALSE,63.16,MEDIUM,TRAFFIC_BLOCK,TRUE,,63.16,RULE_BASED,
TASK_000050,AST_000050,TRD,REPAIR,REPAIR,SEC_010,LOC_005,Synthetic feeder maintenance activity,2026-05-20,2026-09-15,180,COMPLETED,88.2,57.0,30.9,FALSE,55.7,MEDIUM,POWER_BLOCK,FALSE,DEF_000159,55.7,RULE_BASED,
TASK_000051,AST_000007,ENGINEERING,REPLACEMENT,REPLACEMENT,SEC_007,LOC_008,Synthetic turnout maintenance activity,2026-03-19,2026-08-23,30,PENDING,52.8,82.3,52.2,TRUE,66.22,HIGH,TRAFFIC_BLOCK,TRUE,DEF_000146,66.22,RULE_BASED,
TASK_000052,AST_000014,TRD,TESTING,TESTING,SEC_004,LOC_005,Synthetic feeder maintenance activity,2026-07-17,2026-10-05,45,SCHEDULED,44.4,19.9,57.2,TRUE,35.81,LOW,POWER_BLOCK,FALSE,DEF_000183,35.81,RULE_BASED,
TASK_000053,AST_000021,S&T,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_001,LOC_001,Synthetic signal maintenance activity,2026-06-19,2026-10-19,90,COMPLETED,42.9,0.0,30.1,FALSE,22.54,LOW,SIGNAL_BLOCK,FALSE,,22.54,RULE_BASED,
TASK_000054,AST_000028,ENGINEERING,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_008,LOC_009,Synthetic culvert maintenance activity,2026-04-20,2026-09-23,150,PENDING,49.5,69.3,51.7,TRUE,51.04,MEDIUM,TRAFFIC_BLOCK,FALSE,DEF_000057,51.04,RULE_BASED,
TASK_000055,AST_000035,TRD,INSPECTION,INSPECTION,SEC_005,LOC_006,Synthetic isolator maintenance activity,2026-08-21,2026-10-10,180,IN_PROGRESS,84.2,99.7,69.6,FALSE,76.78,HIGH,POWER_BLOCK,FALSE,,76.78,RULE_BASED,
TASK_000056,AST_000042,S&T,REPAIR,REPAIR,SEC_002,LOC_002,Synthetic interlocking_equipment maintenance activity,2026-08-28,2026-10-10,75,SCHEDULED,44.5,57.6,58.6,TRUE,47.5,MEDIUM,SIGNAL_BLOCK,FALSE,DEF_000081,47.5,RULE_BASED,
TASK_000057,AST_000049,ENGINEERING,REPLACEMENT,REPLACEMENT,SEC_009,LOC_010,Synthetic turnout maintenance activity,2026-08-27,2026-10-12,180,PENDING,67.6,0.4,27.4,TRUE,30.63,LOW,TRAFFIC_BLOCK,FALSE,DEF_000218,30.63,RULE_BASED,
TASK_000058,AST_000006,S&T,TESTING,TESTING,SEC_006,LOC_007,Synthetic relay maintenance activity,2026-09-14,2026-10-10,90,SCHEDULED,94.3,6.1,53.9,TRUE,48.31,MEDIUM,SIGNAL_BLOCK,FALSE,,48.31,RULE_BASED,
TASK_000059,AST_000013,ENGINEERING,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_003,LOC_004,Synthetic bridge maintenance activity,2026-09-09,2026-09-16,120,COMPLETED,54.3,78.5,35.6,FALSE,51.46,MEDIUM,TRAFFIC_BLOCK,FALSE,,51.46,RULE_BASED,
TASK_000060,AST_000020,TRD,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_010,LOC_005,Synthetic isolator maintenance activity,2026-07-27,2026-10-17,30,CANCELLED,63.2,0.0,18.6,FALSE,26.77,LOW,POWER_BLOCK,FALSE,DEF_000229,26.77,RULE_BASED,
TASK_000061,AST_000027,S&T,INSPECTION,INSPECTION,SEC_007,LOC_007,Synthetic point_machine maintenance activity,2026-06-14,2026-10-03,60,PENDING,50.8,18.6,62.0,TRUE,38.86,LOW,SIGNAL_BLOCK,FALSE,,38.86,RULE_BASED,
TASK_000062,AST_000034,ENGINEERING,REPAIR,REPAIR,SEC_004,LOC_004,Synthetic culvert maintenance activity,2026-07-08,2026-09-03,90,PENDING,82.4,63.7,43.4,TRUE,68.8,HIGH,TRAFFIC_BLOCK,TRUE,DEF_000253,68.8,RULE_BASED,
TASK_000063,AST_000041,TRD,REPLACEMENT,REPLACEMENT,SEC_001,LOC_001,Synthetic feeder maintenance activity,2026-05-09,2026-10-19,30,PENDING,89.8,0.0,60.6,TRUE,46.58,MEDIUM,POWER_BLOCK,FALSE,,46.58,RULE_BASED,
TASK_000064,AST_000048,S&T,TESTING,TESTING,SEC_008,LOC_009,Synthetic signal maintenance activity,2026-09-13,2026-09-20,30,PENDING,56.3,81.3,27.6,TRUE,51.0,MEDIUM,SIGNAL_BLOCK,FALSE,DEF_000077,51.0,RULE_BASED,
TASK_000065,AST_000005,TRD,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_005,LOC_006,Synthetic ohe maintenance activity,2026-02-28,2026-08-03,90,SCHEDULED,56.6,100.0,27.0,TRUE,66.56,HIGH,POWER_BLOCK,TRUE,,66.56,RULE_BASED,
TASK_000066,AST_000012,S&T,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_002,LOC_002,Synthetic track_circuit maintenance activity,2026-05-25,2026-07-31,120,COMPLETED,62.0,100.0,36.6,FALSE,70.85,HIGH,SIGNAL_BLOCK,TRUE,DEF_000001,70.85,RULE_BASED,
TASK_000067,AST_000019,ENGINEERING,INSPECTION,INSPECTION,SEC_009,LOC_009,Synthetic bridge maintenance activity,2026-08-23,2026-10-05,75,IN_PROGRESS,79.6,9.9,58.1,FALSE,45.36,MEDIUM,TRAFFIC_BLOCK,FALSE,,45.36,RULE_BASED,
TASK_000068,AST_000026,TRD,REPAIR,REPAIR,SEC_006,LOC_006,Synthetic isolator maintenance activity,2026-07-21,2026-10-22,75,COMPLETED,79.3,0.0,29.7,FALSE,35.18,LOW,POWER_BLOCK,FALSE,DEF_000225,35.18,RULE_BASED,
TASK_000069,AST_000033,S&T,REPLACEMENT,REPLACEMENT,SEC_003,LOC_003,Synthetic track_circuit maintenance activity,2026-06-25,2026-07-31,60,PENDING,80.7,100.0,44.2,TRUE,79.3,HIGH,SIGNAL_BLOCK,TRUE,,79.3,RULE_BASED,
TASK_000070,AST_000040,ENGINEERING,TESTING,TESTING,SEC_010,LOC_005,Synthetic track maintenance activity,2026-04-19,2026-10-01,240,PENDING,49.9,17.1,47.2,TRUE,34.39,LOW,TRAFFIC_BLOCK,FALSE,DEF_000299,34.39,RULE_BASED,
TASK_000071,AST_000047,TRD,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_007,LOC_008,Synthetic substation maintenance activity,2026-02-02,2026-09-12,60,PENDING,84.5,58.8,59.0,TRUE,61.96,MEDIUM,POWER_BLOCK,FALSE,,61.96,RULE_BASED,
TASK_000072,AST_000004,ENGINEERING,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_004,LOC_005,Synthetic turnout maintenance activity,2026-05-17,2026-09-20,45,COMPLETED,87.4,36.4,49.6,FALSE,53.91,MEDIUM,TRAFFIC_BLOCK,FALSE,DEF_000123,53.91,RULE_BASED,
TASK_000073,AST_000011,TRD,INSPECTION,INSPECTION,SEC_001,LOC_002,Synthetic switching_equipment maintenance activity,2026-07-14,2026-09-25,90,COMPLETED,69.6,26.2,36.3,FALSE,41.3,MEDIUM,POWER_BLOCK,FALSE,,41.3,RULE_BASED,
TASK_000074,AST_000018,S&T,REPAIR,REPAIR,SEC_008,LOC_009,Synthetic interlocking_equipment maintenance activity,2026-05-04,2026-09-20,60,PENDING,94.2,69.8,54.9,TRUE,67.63,HIGH,SIGNAL_BLOCK,FALSE,DEF_000097,67.63,RULE_BASED,
TASK_000075,AST_000025,ENGINEERING,REPLACEMENT,REPLACEMENT,SEC_005,LOC_006,Synthetic turnout maintenance activity,2026-09-10,2026-09-21,180,PENDING,94.7,98.7,40.5,TRUE,72.88,HIGH,TRAFFIC_BLOCK,FALSE,DEF_000234,72.88,RULE_BASED,
TASK_000076,AST_000032,TRD,TESTING,TESTING,SEC_002,LOC_002,Synthetic substation maintenance activity,2026-05-12,2026-08-20,150,IN_PROGRESS,72.1,97.7,26.8,FALSE,71.24,HIGH,POWER_BLOCK,TRUE,DEF_000121,71.24,RULE_BASED,
TASK_000077,AST_000039,S&T,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_009,LOC_010,Synthetic signal maintenance activity,2026-05-21,2026-10-05,75,PENDING,91.8,86.6,70.2,TRUE,75.66,HIGH,SIGNAL_BLOCK,FALSE,,75.66,RULE_BASED,
TASK_000078,AST_000046,ENGINEERING,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_006,LOC_007,Synthetic turnout maintenance activity,2026-01-25,2026-10-22,75,PENDING,52.0,100.0,48.2,TRUE,60.25,MEDIUM,TRAFFIC_BLOCK,FALSE,,60.25,RULE_BASED,
TASK_000079,AST_000003,S&T,INSPECTION,INSPECTION,SEC_003,LOC_004,Synthetic relay maintenance activity,2026-04-09,2026-08-20,60,PENDING,55.7,99.2,18.0,TRUE,63.76,MEDIUM,SIGNAL_BLOCK,TRUE,,63.76,RULE_BASED,
TASK_000080,AST_000010,ENGINEERING,REPAIR,REPAIR,SEC_010,LOC_011,Synthetic points maintenance activity,2026-05-10,2026-10-01,90,PENDING,83.3,25.4,70.3,TRUE,54.35,MEDIUM,TRAFFIC_BLOCK,FALSE,DEF_000169,54.35,RULE_BASED,
TASK_000081,AST_000017,TRD,REPLACEMENT,REPLACEMENT,SEC_007,LOC_007,Synthetic substation maintenance activity,2026-04-14,2026-09-12,75,IN_PROGRESS,66.6,75.6,24.8,FALSE,52.19,MEDIUM,POWER_BLOCK,FALSE,DEF_000006,52.19,RULE_BASED,
TASK_000082,AST_000024,S&T,TESTING,TESTING,SEC_004,LOC_005,Synthetic interlocking_equipment maintenance activity,2026-05-27,2026-09-02,240,COMPLETED,66.7,77.7,17.8,FALSE,61.1,MEDIUM,SIGNAL_BLOCK,TRUE,DEF_000143,61.1,RULE_BASED,
TASK_000083,AST_000031,ENGINEERING,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_001,LOC_002,Synthetic turnout maintenance activity,2026-03-21,2026-10-17,120,PENDING,40.4,0.0,22.6,TRUE,19.79,LOW,TRAFFIC_BLOCK,FALSE,,19.79,RULE_BASED,
TASK_000084,AST_000038,TRD,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_008,LOC_008,Synthetic switching_equipment maintenance activity,2026-09-13,2026-09-20,150,COMPLETED,95.1,100.0,43.5,FALSE,74.16,HIGH,POWER_BLOCK,FALSE,DEF_000267,74.16,RULE_BASED,
TASK_000085,AST_000045,S&T,INSPECTION,INSPECTION,SEC_005,LOC_006,Synthetic signal maintenance activity,2026-09-13,2026-09-20,45,PENDING,42.3,68.2,18.9,TRUE,39.99,LOW,SIGNAL_BLOCK,FALSE,,39.99,RULE_BASED,
TASK_000086,AST_000002,TRD,REPAIR,REPAIR,SEC_002,LOC_002,Synthetic isolator maintenance activity,2026-04-27,2026-10-24,45,COMPLETED,63.8,0.0,34.5,FALSE,30.96,LOW,POWER_BLOCK,FALSE,,30.96,RULE_BASED,
TASK_000087,AST_000009,S&T,REPLACEMENT,REPLACEMENT,SEC_009,LOC_010,Synthetic point_machine maintenance activity,2026-09-12,2026-09-19,30,COMPLETED,89.0,100.0,46.1,FALSE,72.68,HIGH,SIGNAL_BLOCK,FALSE,DEF_000178,72.68,RULE_BASED,
TASK_000088,AST_000016,ENGINEERING,TESTING,TESTING,SEC_006,LOC_006,Synthetic bridge maintenance activity,2026-06-17,2026-08-16,75,PENDING,55.3,99.0,26.0,TRUE,65.55,HIGH,TRAFFIC_BLOCK,TRUE,DEF_000065,65.55,RULE_BASED,
TASK_000089,AST_000023,TRD,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_003,LOC_003,Synthetic feeder maintenance activity,2026-05-17,2026-10-27,120,COMPLETED,55.6,0.0,50.4,FALSE,32.06,LOW,POWER_BLOCK,FALSE,,32.06,RULE_BASED,
TASK_000090,AST_000030,S&T,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_010,LOC_005,Synthetic track_circuit maintenance activity,2026-04-10,2026-08-10,90,COMPLETED,88.6,100.0,28.4,FALSE,78.11,HIGH,SIGNAL_BLOCK,TRUE,DEF_000289,78.11,RULE_BASED,
