dependency_id,predecessor_task_id,successor_task_id,dependency_type,minimum_gap_min,mandatory
DEP_000085,TASK_000280,TASK_000380,FINISH_TO_START,30,False
DEP_000086,TASK_000130,TASK_000280,FINISH_TO_START,30,True
DEP_000087,TASK_000030,TASK_000130,FINISH_TO_START,30,True
DEP_000088,TASK_000030,TASK_000230,FINISH_TO_START,30,True
DEP_000089,TASK_000230,TASK_000330,FINISH_TO_START,30,False
DEP_000090,TASK_000330,TASK_000430,FINISH_TO_START,30,True
DEP_000091,TASK_000173,TASK_000223,FINISH_TO_START,30,True
DEP_000092,TASK_000173,TASK_000373,FINISH_TO_START,30,True
DEP_000093,TASK_000323,TASK_000373,FINISH_TO_START,30,False
DEP_000094,TASK_000073,TASK_000323,FINISH_TO_START,30,True
DEP_000095,TASK_000073,TASK_000123,FINISH_TO_START,30,True
DEP_000096,TASK_000123,TASK_000423,FINISH_TO_START,30,True
DEP_000097,TASK_000273,TASK_000423,FINISH_TO_START,30,False
DEP_000098,TASK_000273,TASK_000473,FINISH_TO_START,30,True
DEP_000099,TASK_000023,TASK_000473,FINISH_TO_START,30,True
DEP_000100,TASK_000016,TASK_000316,FINISH_TO_START,30,True
DEP_000101,TASK_000316,TASK_000466,FINISH_TO_START,30,False
DEP_000102,TASK_000366,TASK_000466,FINISH_TO_START,30,True
DEP_000103,TASK_000116,TASK_000366,FINISH_TO_START,30,True
DEP_000104,TASK_000116,TASK_000416,FINISH_TO_START,30,True
DEP_000105,TASK_000066,TASK_000416,FINISH_TO_START,30,False
DEP_000106,TASK_000066,TASK_000166,FINISH_TO_START,30,True
DEP_000107,TASK_000166,TASK_000216,FINISH_TO_START,30,True
DEP_000108,TASK_000216,TASK_000266,FINISH_TO_START,30,True
DEP_000109,TASK_000109,TASK_000209,FINISH_TO_START,30,False
DEP_000110,TASK_000009,TASK_000109,FINISH_TO_START,30,True
DEP_000111,TASK_000009,TASK_000459,FINISH_TO_START,30,True
DEP_000112,TASK_000359,TASK_000459,FINISH_TO_START,30,True
DEP_000113,TASK_000309,TASK_000359,FINISH_TO_START,30,False
DEP_000114,TASK_000259,TASK_000309,FINISH_TO_START,30,True
DEP_000115,TASK_000159,TASK_000259,FINISH_TO_START,30,True
DEP_000116,TASK_000159,TASK_000409,FINISH_TO_START,30,True
DEP_000117,TASK_000059,TASK_000409,FINISH_TO_START,30,False
DEP_000118,TASK_000002,TASK_000102,FINISH_TO_START,30,True
DEP_000119,TASK_000002,TASK_000152,FINISH_TO_START,30,True
DEP_000120,TASK_000152,TASK_000252,FINISH_TO_START,30,True
DEP_000121,TASK_000252,TASK_000402,FINISH_TO_START,30,False
DEP_000122,TASK_000052,TASK_000402,FINISH_TO_START,30,True
DEP_000123,TASK_000052,TASK_000202,FINISH_TO_START,30,True
DEP_000124,TASK_000202,TASK_000452,FINISH_TO_START,30,True
DEP_000125,TASK_000352,TASK_000452,FINISH_TO_START,30,False
DEP_000126,TASK_000302,TASK_000352,FINISH_TO_START,30,True
DEP_000127,TASK_000095,TASK_000295,FINISH_TO_START,30,True
DEP_000128,TASK_000245,TASK_000295,FINISH_TO_START,30,True
DEP_000129,TASK_000045,TASK_000245,FINISH_TO_START,30,False
DEP_000130,TASK_000045,TASK_000495,FINISH_TO_START,30,True
DEP_000131,TASK_000445,TASK_000495,FINISH_TO_START,30,True
DEP_000132,TASK_000345,TASK_000445,FINISH_TO_START,30,True
DEP_000133,TASK_000195,TASK_000345,FINISH_TO_START,30,False
DEP_000134,TASK_000145,TASK_000195,FINISH_TO_START,30,True
DEP_000135,TASK_000145,TASK_000395,FINISH_TO_START,30,True
DEP_000136,TASK_000038,TASK_000138,FINISH_TO_START,30,True
DEP_000137,TASK_000138,TASK_000238,FINISH_TO_START,30,False
DEP_000138,TASK_000088,TASK_000238,FINISH_TO_START,30,True
DEP_000139,TASK_000088,TASK_000188,FINISH_TO_START,30,True
DEP_000140,TASK_000188,TASK_000288,FINISH_TO_START,30,True
DEP_000141,TASK_000288,TASK_000388,FINISH_TO_START,30,False
DEP_000142,TASK_000388,TASK_000488,FINISH_TO_START,30,True
DEP_000143,TASK_000438,TASK_000488,FINISH_TO_START,30,True
DEP_000144,TASK_000338,TASK_000438,FINISH_TO_START,30,True
DEP_000145,TASK_000131,TASK_000331,FINISH_TO_START,30,False
DEP_000146,TASK_000131,TASK_000281,FINISH_TO_START,30,True
DEP_000147,TASK_000231,TASK_000281,FINISH_TO_START,30,True
DEP_000148,TASK_000081,TASK_000231,FINISH_TO_START,30,True
DEP_000149,TASK_000031,TASK_000081,FINISH_TO_START,30,False
DEP_000150,TASK_000031,TASK_000481,FINISH_TO_START,30,True
DEP_000151,TASK_000381,TASK_000481,FINISH_TO_START,30,True
DEP_000152,TASK_000381,TASK_000431,FINISH_TO_START,30,True
DEP_000153,TASK_000181,TASK_000431,FINISH_TO_START,30,False
DEP_000154,TASK_000024,TASK_000224,FINISH_TO_START,30,True
DEP_000155,TASK_000074,TASK_000224,FINISH_TO_START,30,True
DEP_000156,TASK_000074,TASK_000274,FINISH_TO_START,30,True
DEP_000157,TASK_000174,TASK_000274,FINISH_TO_START,30,False
DEP_000158,TASK_000174,TASK_000324,FINISH_TO_START,30,True
DEP_000159,TASK_000324,TASK_000474,FINISH_TO_START,30,True
DEP_000160,TASK_000124,TASK_000474,FINISH_TO_START,30,True
DEP_000161,TASK_000124,TASK_000424,FINISH_TO_START,30,False
DEP_000162,TASK_000374,TASK_000424,FINISH_TO_START,30,True
DEP_000163,TASK_000017,TASK_000217,FINISH_TO_START,30,True
DEP_000164,TASK_000117,TASK_000217,FINISH_TO_START,30,True
DEP_000165,TASK_000117,TASK_000367,FINISH_TO_START,30,False
DEP_000166,TASK_000367,TASK_000417,FINISH_TO_START,30,True
DEP_000167,TASK_000167,TASK_000417,FINISH_TO_START,30,True
DEP_000168,TASK_000167,TASK_000467,FINISH_TO_START,30,True
DEP_000169,TASK_000267,TASK_000467,FINISH_TO_START,30,False
DEP_000170,TASK_000267,TASK_000317,FINISH_TO_START,30,True
DEP_000171,TASK_000067,TASK_000317,FINISH_TO_START,30,True
DEP_000172,TASK_000110,TASK_000460,FINISH_TO_START,30,True
DEP_000173,TASK_000110,TASK_000210,FINISH_TO_START,30,False
DEP_000174,TASK_000210,TASK_000310,FINISH_TO_START,30,True
DEP_000175,TASK_000010,TASK_000310,FINISH_TO_START,30,True
DEP_000176,TASK_000010,TASK_000160,FINISH_TO_START,30,True
DEP_000177,TASK_000060,TASK_000160,FINISH_TO_START,30,False
DEP_000178,TASK_000060,TASK_000410,FINISH_TO_START,30,True
DEP_000179,TASK_000360,TASK_000410,FINISH_TO_START,30,True
DEP_000180,TASK_000260,TASK_000360,FINISH_TO_START,30,True
DEP_000181,TASK_000403,TASK_000453,FINISH_TO_START,30,False
DEP_000182,TASK_000103,TASK_000403,FINISH_TO_START,30,True
DEP_000183,TASK_000053,TASK_000103,FINISH_TO_START,30,True
DEP_000184,TASK_000003,TASK_000053,FINISH_TO_START,30,True
DEP_000185,TASK_000003,TASK_000303,FINISH_TO_START,30,False
DEP_000186,TASK_000011,TASK_000303,FINISH_TO_START,30,True
DEP_000187,TASK_000011,TASK_000153,FINISH_TO_START,30,True
DEP_000188,TASK_000153,TASK_000353,FINISH_TO_START,30,True
DEP_000189,TASK_000253,TASK_000353,FINISH_TO_START,30,False
DEP_000190,TASK_000203,TASK_000253,FINISH_TO_START,30,True
DEP_000191,TASK_000096,TASK_000396,FINISH_TO_START,30,True
DEP_000192,TASK_000096,TASK_000246,FINISH_TO_START,30,True
DEP_000193,TASK_000146,TASK_000246,FINISH_TO_START,30,False
DEP_000194,TASK_000146,TASK_000446,FINISH_TO_START,30,True
DEP_000195,TASK_000296,TASK_000446,FINISH_TO_START,30,True
DEP_000196,TASK_000046,TASK_000296,FINISH_TO_START,30,True
DEP_000197,TASK_000046,TASK_000196,FINISH_TO_START,30,False
DEP_000198,TASK_000196,TASK_000346,FINISH_TO_START,30,True
DEP_000199,TASK_000346,TASK_000496,FINISH_TO_START,30,True
DEP_000200,TASK_000189,TASK_000389,FINISH_TO_START,30,True
DEP_000201,TASK_000139,TASK_000389,FINISH_TO_START,30,False
DEP_000202,TASK_000139,TASK_000289,FINISH_TO_START,30,True
DEP_000203,TASK_000089,TASK_000289,FINISH_TO_START,30,True
DEP_000204,TASK_000039,TASK_000089,FINISH_TO_START,30,True
DEP_000205,TASK_000039,TASK_000339,FINISH_TO_START,30,False
DEP_000206,TASK_000339,TASK_000489,FINISH_TO_START,30,True
DEP_000207,TASK_000239,TASK_000489,FINISH_TO_START,30,True
DEP_000208,TASK_000239,TASK_000439,FINISH_TO_START,30,True
DEP_000209,TASK_000332,TASK_000432,FINISH_TO_START,30,False
DEP_000210,TASK_000132,TASK_000332,FINISH_TO_START,30,True
DEP_000211,TASK_000132,TASK_000232,FINISH_TO_START,30,True
DEP_000212,TASK_000082,TASK_000232,FINISH_TO_START,30,True
DEP_000213,TASK_000082,TASK_000182,FINISH_TO_START,30,False
DEP_000214,TASK_000182,TASK_000382,FINISH_TO_START,30,True
DEP_000215,TASK_000382,TASK_000482,FINISH_TO_START,30,True
DEP_000216,TASK_000032,TASK_000482,FINISH_TO_START,30,True
DEP_000217,TASK_000032,TASK_000282,FINISH_TO_START,30,False
DEP_000218,TASK_000275,TASK_000425,FINISH_TO_START,30,True
DEP_000219,TASK_000225,TASK_000275,FINISH_TO_START,30,True
DEP_000220,TASK_000125,TASK_000225,FINISH_TO_START,30,True
DEP_000221,TASK_000125,TASK_000375,FINISH_TO_START,30,False
DEP_000222,TASK_000325,TASK_000375,FINISH_TO_START,30,True
DEP_000223,TASK_000175,TASK_000325,FINISH_TO_START,30,True
DEP_000224,TASK_000175,TASK_000475,FINISH_TO_START,30,True
DEP_000225,TASK_000075,TASK_000475,FINISH_TO_START,30,False
DEP_000226,TASK_000025,TASK_000075,FINISH_TO_START,30,True
DEP_000227,TASK_000168,TASK_000418,FINISH_TO_START,30,True
DEP_000228,TASK_000168,TASK_000218,FINISH_TO_START,30,True
DEP_000229,TASK_000118,TASK_000218,FINISH_TO_START,30,False
DEP_000230,TASK_000118,TASK_000318,FINISH_TO_START,30,True
DEP_000231,TASK_000018,TASK_000318,FINISH_TO_START,30,True
DEP_000232,TASK_000018,TASK_000368,FINISH_TO_START,30,True
DEP_000233,TASK_000068,TASK_000368,FINISH_TO_START,30,False
DEP_000234,TASK_000068,TASK_000268,FINISH_TO_START,30,True
DEP_000235,TASK_000268,TASK_000468,FINISH_TO_START,30,True
DEP_000236,TASK_000361,TASK_000461,FINISH_TO_START,30,True
DEP_000237,TASK_000161,TASK_000461,FINISH_TO_START,30,False
DEP_000238,TASK_000161,TASK_000211,FINISH_TO_START,30,True
DEP_000239,TASK_000061,TASK_000211,FINISH_TO_START,30,True
DEP_000240,TASK_000061,TASK_000111,FINISH_TO_START,30,True
DEP_000241,TASK_000111,TASK_000411,FINISH_TO_START,30,False
DEP_000242,TASK_000261,TASK_000411,FINISH_TO_START,30,True
DEP_000243,TASK_000261,TASK_000311,FINISH_TO_START,30,True
DEP_000244,TASK_000054,TASK_000104,FINISH_TO_START,30,True
DEP_000245,TASK_000104,TASK_000154,FINISH_TO_START,30,False
DEP_000246,TASK_000154,TASK_000404,FINISH_TO_START,30,True
DEP_000247,TASK_000354,TASK_000404,FINISH_TO_START,30,True
DEP_000248,TASK_000254,TASK_000354,FINISH_TO_START,30,True
DEP_000249,TASK_000204,TASK_000254,FINISH_TO_START,30,False
DEP_000250,TASK_000204,TASK_000304,FINISH_TO_START,30,True
DEP_000251,TASK_000304,TASK_000454,FINISH_TO_START,30,True
DEP_000252,TASK_000004,TASK_000454,FINISH_TO_START,30,True
DEP_000253,TASK_000047,TASK_000197,FINISH_TO_START,30,False
DEP_000254,TASK_000047,TASK_000147,FINISH_TO_START,30,True
DEP_000255,TASK_000147,TASK_000397,FINISH_TO_START,30,True
DEP_000256,TASK_000297,TASK_000397,FINISH_TO_START,30,True
DEP_000257,TASK_000097,TASK_000297,FINISH_TO_START,30,False
DEP_000258,TASK_000097,TASK_000247,FINISH_TO_START,30,True
DEP_000259,TASK_000247,TASK_000347,FINISH_TO_START,30,True
DEP_000260,TASK_000347,TASK_000497,FINISH_TO_START,30,True
DEP_000261,TASK_000447,TASK_000497,FINISH_TO_START,30,False
DEP_000262,TASK_000090,TASK_000390,FINISH_TO_START,30,True
DEP_000263,TASK_000340,TASK_000390,FINISH_TO_START,30,True
DEP_000264,TASK_000240,TASK_000340,FINISH_TO_START,30,True
DEP_000265,TASK_000240,TASK_000490,FINISH_TO_START,30,False
DEP_000266,TASK_000140,TASK_000490,FINISH_TO_START,30,True
DEP_000267,TASK_000140,TASK_000290,FINISH_TO_START,30,True
DEP_000268,TASK_000040,TASK_000290,FINISH_TO_START,30,True
DEP_000269,TASK_000040,TASK_000440,FINISH_TO_START,30,False
DEP_000270,TASK_000190,TASK_000440,FINISH_TO_START,30,True
DEP_000271,TASK_000083,TASK_000133,FINISH_TO_START,30,True
DEP_000272,TASK_000133,TASK_000283,FINISH_TO_START,30,True
DEP_000273,TASK_000033,TASK_000283,FINISH_TO_START,30,False
DEP_000274,TASK_000033,TASK_000183,FINISH_TO_START,30,True
DEP_000275,TASK_000183,TASK_000333,FINISH_TO_START,30,True
DEP_000276,TASK_000333,TASK_000383,FINISH_TO_START,30,True
DEP_000277,TASK_000233,TASK_000383,FINISH_TO_START,30,False
DEP_000278,TASK_000233,TASK_000483,FINISH_TO_START,30,True
DEP_000279,TASK_000433,TASK_000483,FINISH_TO_START,30,True
DEP_000280,TASK_000076,TASK_000176,FINISH_TO_START,30,True
DEP_000281,TASK_000076,TASK_000276,FINISH_TO_START,30,False
DEP_000282,TASK_000026,TASK_000276,FINISH_TO_START,30,True
DEP_000283,TASK_000026,TASK_000126,FINISH_TO_START,30,True
DEP_000284,TASK_000126,TASK_000226,FINISH_TO_START,30,True
DEP_000285,TASK_000226,TASK_000326,FINISH_TO_START,30,False
DEP_000286,TASK_000326,TASK_000426,FINISH_TO_START,30,True
DEP_000287,TASK_000376,TASK_000426,FINISH_TO_START,30,True
DEP_000288,TASK_000376,TASK_000476,FINISH_TO_START,30,True
DEP_000289,TASK_000169,TASK_000319,FINISH_TO_START,30,False
DEP_000290,TASK_000169,TASK_000469,FINISH_TO_START,30,True
DEP_000291,TASK_000119,TASK_000469,FINISH_TO_START,30,True
DEP_000292,TASK_000019,TASK_000119,FINISH_TO_START,30,True
DEP_000293,TASK_000019,TASK_000269,FINISH_TO_START,30,False
DEP_000294,TASK_000069,TASK_000269,FINISH_TO_START,30,True
DEP_000295,TASK_000069,TASK_000419,FINISH_TO_START,30,True
DEP_000296,TASK_000219,TASK_000419,FINISH_TO_START,30,True
DEP_000297,TASK_000219,TASK_000369,FINISH_TO_START,30,False
DEP_000298,TASK_000162,TASK_000262,FINISH_TO_START,30,True
DEP_000299,TASK_000062,TASK_000162,FINISH_TO_START,30,True
DEP_000300,TASK_000012,TASK_000062,FINISH_TO_START,30,True
DEP_000301,TASK_000012,TASK_000112,FINISH_TO_START,30,False
DEP_000302,TASK_000112,TASK_000212,FINISH_TO_START,30,True
DEP_000303,TASK_000212,TASK_000312,FINISH_TO_START,30,True
DEP_000304,TASK_000312,TASK_000412,FINISH_TO_START,30,True
DEP_000305,TASK_000362,TASK_000412,FINISH_TO_START,30,False
DEP_000306,TASK_000362,TASK_000462,FINISH_TO_START,30,True
DEP_000307,TASK_000305,TASK_000355,FINISH_TO_START,30,True
DEP_000308,TASK_000355,TASK_000455,FINISH_TO_START,30,True
DEP_000309,TASK_000005,TASK_000455,FINISH_TO_START,30,False
DEP_000310,TASK_000005,TASK_000205,FINISH_TO_START,30,True
DEP_000311,TASK_000205,TASK_000405,FINISH_TO_START,30,True
DEP_000312,TASK_000255,TASK_000405,FINISH_TO_START,30,True
DEP_000313,TASK_000105,TASK_000255,FINISH_TO_START,30,False
DEP_000314,TASK_000055,TASK_000105,FINISH_TO_START,30,True
DEP_000315,TASK_000055,TASK_000155,FINISH_TO_START,30,True
DEP_000316,TASK_000048,TASK_000248,FINISH_TO_START,30,True
DEP_000317,TASK_000248,TASK_000348,FINISH_TO_START,30,False
DEP_000318,TASK_000198,TASK_000348,FINISH_TO_START,30,True
DEP_000319,TASK_000198,TASK_000398,FINISH_TO_START,30,True
DEP_000320,TASK_000298,TASK_000398,FINISH_TO_START,30,True
DEP_000321,TASK_000298,TASK_000498,FINISH_TO_START,30,False
DEP_000322,TASK_000448,TASK_000498,FINISH_TO_START,30,True
DEP_000323,TASK_000148,TASK_000448,FINISH_TO_START,30,True
DEP_000324,TASK_000098,TASK_000148,FINISH_TO_START,30,True
DEP_000325,TASK_000191,TASK_000241,FINISH_TO_START,30,False
DEP_000326,TASK_000041,TASK_000191,FINISH_TO_START,30,True
DEP_000327,TASK_000041,TASK_000491,FINISH_TO_START,30,True
DEP_000328,TASK_000441,TASK_000491,FINISH_TO_START,30,True
DEP_000329,TASK_000391,TASK_000441,FINISH_TO_START,30,False
DEP_000330,TASK_000341,TASK_000391,FINISH_TO_START,30,True
DEP_000331,TASK_000141,TASK_000341,FINISH_TO_START,30,True
DEP_000332,TASK_000091,TASK_000141,FINISH_TO_START,30,True
DEP_000333,TASK_000091,TASK_000291,FINISH_TO_START,30,False
DEP_000334,TASK_000234,TASK_000384,FINISH_TO_START,30,True
DEP_000335,TASK_000234,TASK_000334,FINISH_TO_START,30,True
DEP_000336,TASK_000184,TASK_000334,FINISH_TO_START,30,True
DEP_000337,TASK_000184,TASK_000484,FINISH_TO_START,30,False
DEP_000338,TASK_000034,TASK_000484,FINISH_TO_START,30,True
DEP_000339,TASK_000034,TASK_000134,FINISH_TO_START,30,True
DEP_000340,TASK_000134,TASK_000284,FINISH_TO_START,30,True
DEP_000341,TASK_000284,TASK_000434,FINISH_TO_START,30,False
DEP_000342,TASK_000084,TASK_000434,FINISH_TO_START,30,True
DEP_000343,TASK_000377,TASK_000427,FINISH_TO_START,30,True
DEP_000344,TASK_000177,TASK_000427,FINISH_TO_START,30,True
DEP_000345,TASK_000177,TASK_000477,FINISH_TO_START,30,False
DEP_000346,TASK_000077,TASK_000477,FINISH_TO_START,30,True
DEP_000347,TASK_000077,TASK_000277,FINISH_TO_START,30,True
DEP_000348,TASK_000127,TASK_000277,FINISH_TO_START,30,True
DEP_000349,TASK_000027,TASK_000127,FINISH_TO_START,30,False
DEP_000350,TASK_000027,TASK_000327,FINISH_TO_START,30,True
DEP_000351,TASK_000227,TASK_000327,FINISH_TO_START,30,True
DEP_000352,TASK_000070,TASK_000370,FINISH_TO_START,30,True
DEP_000353,TASK_000070,TASK_000120,FINISH_TO_START,30,False
DEP_000354,TASK_000120,TASK_000220,FINISH_TO_START,30,True
DEP_000355,TASK_000220,TASK_000270,FINISH_TO_START,30,True
DEP_000356,TASK_000270,TASK_000470,FINISH_TO_START,30,True
DEP_000357,TASK_000170,TASK_000470,FINISH_TO_START,30,False
DEP_000358,TASK_000170,TASK_000420,FINISH_TO_START,30,True
DEP_000359,TASK_000320,TASK_000420,FINISH_TO_START,30,True
DEP_000360,TASK_000020,TASK_000320,FINISH_TO_START,30,True
DEP_000361,TASK_000113,TASK_000163,FINISH_TO_START,30,False
DEP_000362,TASK_000013,TASK_000113,FINISH_TO_START,30,True
DEP_000363,TASK_000013,TASK_000413,FINISH_TO_START,30,True
DEP_000364,TASK_000363,TASK_000413,FINISH_TO_START,30,True
DEP_000365,TASK_000063,TASK_000363,FINISH_TO_START,30,False
DEP_000366,TASK_000063,TASK_000213,FINISH_TO_START,30,True
DEP_000367,TASK_000213,TASK_000313,FINISH_TO_START,30,True
DEP_000368,TASK_000313,TASK_000463,FINISH_TO_START,30,True
DEP_000369,TASK_000263,TASK_000463,FINISH_TO_START,30,False
DEP_000370,TASK_000206,TASK_000456,FINISH_TO_START,30,True
DEP_000371,TASK_000106,TASK_000206,FINISH_TO_START,30,True
DEP_000372,TASK_000106,TASK_000306,FINISH_TO_START,30,True
DEP_000373,TASK_000306,TASK_000406,FINISH_TO_START,30,False
DEP_000374,TASK_000056,TASK_000406,FINISH_TO_START,30,True
DEP_000375,TASK_000056,TASK_000156,FINISH_TO_START,30,True
DEP_000376,TASK_000156,TASK_000256,FINISH_TO_START,30,True
DEP_000377,TASK_000256,TASK_000356,FINISH_TO_START,30,False
DEP_000378,TASK_000006,TASK_000356,FINISH_TO_START,30,True
DEP_000379,TASK_000199,TASK_000449,FINISH_TO_START,30,True
DEP_000380,TASK_000199,TASK_000299,FINISH_TO_START,30,True
DEP_000381,TASK_000049,TASK_000299,FINISH_TO_START,30,False
DEP_000382,TASK_000049,TASK_000149,FINISH_TO_START,30,True
DEP_000383,TASK_000149,TASK_000349,FINISH_TO_START,30,True
DEP_000384,TASK_000349,TASK_000499,FINISH_TO_START,30,True
DEP_000385,TASK_000099,TASK_000499,FINISH_TO_START,30,False
DEP_000386,TASK_000099,TASK_000249,FINISH_TO_START,30,True
DEP_000387,TASK_000249,TASK_000399,FINISH_TO_START,30,True
DEP_000388,TASK_000142,TASK_000442,FINISH_TO_START,30,True
DEP_000389,TASK_000342,TASK_000442,FINISH_TO_START,30,False
DEP_000390,TASK_000342,TASK_000492,FINISH_TO_START,30,True
DEP_000391,TASK_000242,TASK_000492,FINISH_TO_START,30,True
DEP_000392,TASK_000242,TASK_000292,FINISH_TO_START,30,True
DEP_000393,TASK_000042,TASK_000292,FINISH_TO_START,30,False
DEP_000394,TASK_000042,TASK_000092,FINISH_TO_START,30,True
DEP_000395,TASK_000092,TASK_000392,FINISH_TO_START,30,True
DEP_000396,TASK_000192,TASK_000392,FINISH_TO_START,30,True
DEP_000397,TASK_000335,TASK_000385,FINISH_TO_START,30,False
