window_section_id,window_id,section_id
WS_00054,WIN_0026,SEC_003
WS_00055,WIN_0027,SEC_001
WS_00056,WIN_0027,SEC_002
WS_00057,WIN_0027,SEC_003
WS_00058,WIN_0028,SEC_001
WS_00059,WIN_0028,SEC_002
WS_00060,WIN_0028,SEC_003
WS_00061,WIN_0029,SEC_001
WS_00062,WIN_0029,SEC_002
WS_00063,WIN_0029,SEC_003
WS_00064,WIN_0030,SEC_001
WS_00065,WIN_0030,SEC_002
WS_00066,WIN_0030,SEC_003
WS_00067,WIN_0031,SEC_003
WS_00068,WIN_0031,SEC_004
WS_00069,WIN_0032,SEC_003
WS_00070,WIN_0032,SEC_004
WS_00071,WIN_0033,SEC_003
WS_00072,WIN_0033,SEC_004
WS_00073,WIN_0034,SEC_003
WS_00074,WIN_0034,SEC_004
WS_00075,WIN_0035,SEC_003
WS_00076,WIN_0035,SEC_004
WS_00077,WIN_0036,SEC_003
WS_00078,WIN_0036,SEC_004
WS_00079,WIN_0037,SEC_005
WS_00080,WIN_0037,SEC_006
WS_00081,WIN_0038,SEC_005
WS_00082,WIN_0038,SEC_006
WS_00083,WIN_0039,SEC_005
WS_00084,WIN_0039,SEC_006
WS_00085,WIN_0040,SEC_005
WS_00086,WIN_0040,SEC_006
WS_00087,WIN_0041,SEC_005
WS_00088,WIN_0041,SEC_006
WS_00089,WIN_0042,SEC_005
WS_00090,WIN_0042,SEC_006
WS_00091,WIN_0043,SEC_003
WS_00092,WIN_0043,SEC_004
WS_00093,WIN_0044,SEC_003
WS_00094,WIN_0044,SEC_004
WS_00095,WIN_0045,SEC_003
WS_00096,WIN_0045,SEC_004
WS_00097,WIN_0046,SEC_003
WS_00098,WIN_0046,SEC_004
WS_00099,WIN_0047,SEC_003
WS_00100,WIN_0047,SEC_004
WS_00101,WIN_0048,SEC_003
WS_00102,WIN_0048,SEC_004
WS_00103,WIN_0049,SEC_005
WS_00104,WIN_0049,SEC_006
WS_00105,WIN_0050,SEC_005
WS_00106,WIN_0050,SEC_006
WS_00107,WIN_0051,SEC_005
WS_00108,WIN_0051,SEC_006
WS_00109,WIN_0052,SEC_005
WS_00110,WIN_0052,SEC_006
WS_00111,WIN_0053,SEC_005
WS_00112,WIN_0053,SEC_006
WS_00113,WIN_0054,SEC_005
WS_00114,WIN_0054,SEC_006
WS_00115,WIN_0055,SEC_007
WS_00116,WIN_0055,SEC_008
WS_00117,WIN_0056,SEC_007
WS_00118,WIN_0056,SEC_008
WS_00119,WIN_0057,SEC_007
WS_00120,WIN_0057,SEC_008
WS_00121,WIN_0058,SEC_007
WS_00122,WIN_0058,SEC_008
WS_00123,WIN_0059,SEC_007
WS_00124,WIN_0059,SEC_008
WS_00125,WIN_0060,SEC_007
WS_00126,WIN_0060,SEC_008
WS_00127,WIN_0061,SEC_005
WS_00128,WIN_0061,SEC_006
WS_00129,WIN_0062,SEC_005
WS_00130,WIN_0062,SEC_006
WS_00131,WIN_0063,SEC_005
WS_00132,WIN_0063,SEC_006
WS_00133,WIN_0064,SEC_005
WS_00134,WIN_0064,SEC_006
WS_00135,WIN_0065,SEC_005
WS_00136,WIN_0065,SEC_006
WS_00137,WIN_0066,SEC_005
WS_00138,WIN_0066,SEC_006
WS_00139,WIN_0067,SEC_003
WS_00140,WIN_0067,SEC_004
WS_00141,WIN_0067,SEC_005
WS_00142,WIN_0068,SEC_003
WS_00143,WIN_0068,SEC_004
WS_00144,WIN_0068,SEC_005
WS_00145,WIN_0069,SEC_003
WS_00146,WIN_0069,SEC_004
WS_00147,WIN_0069,SEC_005
WS_00148,WIN_0070,SEC_003
WS_00149,WIN_0070,SEC_004
WS_00150,WIN_0070,SEC_005
WS_00151,WIN_0071,SEC_003
WS_00152,WIN_0071,SEC_004
WS_00153,WIN_0071,SEC_005
WS_00154,WIN_0072,SEC_003
WS_00155,WIN_0072,SEC_004
WS_00156,WIN_0072,SEC_005
WS_00157,WIN_0073,SEC_009
WS_00158,WIN_0074,SEC_009
WS_00159,WIN_0075,SEC_009
WS_00160,WIN_0076,SEC_009
WS_00161,WIN_0077,SEC_009
WS_00162,WIN_0078,SEC_009
WS_00163,WIN_0079,SEC_007
WS_00164,WIN_0079,SEC_008
WS_00165,WIN_0080,SEC_007
WS_00166,WIN_0080,SEC_008
WS_00167,WIN_0081,SEC_007
WS_00168,WIN_0081,SEC_008
WS_00169,WIN_0082,SEC_007
WS_00170,WIN_0082,SEC_008
WS_00171,WIN_0083,SEC_007
WS_00172,WIN_0083,SEC_008
WS_00173,WIN_0084,SEC_007
WS_00174,WIN_0084,SEC_008
WS_00175,WIN_0085,SEC_007
WS_00176,WIN_0085,SEC_008
WS_00177,WIN_0086,SEC_007
WS_00178,WIN_0086,SEC_008
WS_00179,WIN_0087,SEC_007
WS_00180,WIN_0087,SEC_008
WS_00181,WIN_0088,SEC_007
WS_00182,WIN_0088,SEC_008
WS_00183,WIN_0089,SEC_007
WS_00184,WIN_0089,SEC_008
WS_00185,WIN_0090,SEC_007
WS_00186,WIN_0090,SEC_008
WS_00187,WIN_0091,SEC_010
WS_00188,WIN_0092,SEC_010
WS_00189,WIN_0093,SEC_010
WS_00190,WIN_0094,SEC_010
WS_00191,WIN_0095,SEC_010
WS_00192,WIN_0096,SEC_010
WS_00193,WIN_0097,SEC_009
WS_00194,WIN_0098,SEC_009
WS_00195,WIN_0099,SEC_009
WS_00196,WIN_0100,SEC_009
WS_00197,WIN_0101,SEC_009
WS_00198,WIN_0102,SEC_009
WS_00199,WIN_0103,SEC_009
WS_00200,WIN_0104,SEC_009
WS_00201,WIN_0105,SEC_009
WS_00202,WIN_0106,SEC_009
WS_00203,WIN_0107,SEC_009
WS_00204,WIN_0108,SEC_009
WS_00205,WIN_0109,SEC_002
WS_00206,WIN_0109,SEC_003
WS_00207,WIN_0110,SEC_002
WS_00208,WIN_0110,SEC_003
WS_00209,WIN_0111,SEC_002
WS_00210,WIN_0111,SEC_003
WS_00211,WIN_0112,SEC_002
WS_00212,WIN_0112,SEC_003
WS_00213,WIN_0113,SEC_002
WS_00214,WIN_0113,SEC_003
WS_00215,WIN_0114,SEC_002
WS_00216,WIN_0114,SEC_003
WS_00217,WIN_0115,SEC_005
WS_00218,WIN_0115,SEC_006
WS_00219,WIN_0115,SEC_007
WS_00220,WIN_0116,SEC_005
WS_00221,WIN_0116,SEC_006
WS_00222,WIN_0116,SEC_007
WS_00223,WIN_0117,SEC_005
WS_00224,WIN_0117,SEC_006
WS_00225,WIN_0117,SEC_007
WS_00226,WIN_0118,SEC_005
WS_00227,WIN_0118,SEC_006
WS_00228,WIN_0118,SEC_007
WS_00229,WIN_0119,SEC_005
WS_00230,WIN_0119,SEC_006
WS_00231,WIN_0119,SEC_007
WS_00232,WIN_0120,SEC_005
WS_00233,WIN_0120,SEC_006
WS_00234,WIN_0120,SEC_007
WS_00235,WIN_0121,SEC_010
WS_00236,WIN_0122,SEC_010
WS_00237,WIN_0123,SEC_010
WS_00238,WIN_0124,SEC_010
WS_00239,WIN_0125,SEC_010
WS_00240,WIN_0126,SEC_010
WS_00241,WIN_0127,SEC_004
WS_00242,WIN_0127,SEC_005
WS_00243,WIN_0128,SEC_004
WS_00244,WIN_0128,SEC_005
WS_00245,WIN_0129,SEC_004
WS_00246,WIN_0129,SEC_005
WS_00247,WIN_0130,SEC_004
WS_00248,WIN_0130,SEC_005
WS_00249,WIN_0131,SEC_004
WS_00250,WIN_0131,SEC_005
WS_00251,WIN_0132,SEC_004
WS_00252,WIN_0132,SEC_005
WS_00253,WIN_0133,SEC_010
WS_00254,WIN_0134,SEC_010
WS_00255,WIN_0135,SEC_010
WS_00256,WIN_0136,SEC_010
WS_00257,WIN_0137,SEC_010
WS_00258,WIN_0138,SEC_010
WS_00259,WIN_0139,SEC_004
WS_00260,WIN_0139,SEC_005
WS_00261,WIN_0140,SEC_004
WS_00262,WIN_0140,SEC_005
WS_00263,WIN_0141,SEC_004
WS_00264,WIN_0141,SEC_005
WS_00265,WIN_0142,SEC_004
WS_00266,WIN_0142,SEC_005
WS_00267,WIN_0143,SEC_004
WS_00268,WIN_0143,SEC_005
WS_00269,WIN_0144,SEC_004
WS_00270,WIN_0144,SEC_005
WS_00271,WIN_0145,SEC_006
WS_00272,WIN_0145,SEC_007
WS_00273,WIN_0146,SEC_006
WS_00274,WIN_0146,SEC_007
WS_00275,WIN_0147,SEC_006
WS_00276,WIN_0147,SEC_007
WS_00277,WIN_0148,SEC_006
WS_00278,WIN_0148,SEC_007
WS_00279,WIN_0149,SEC_006
WS_00280,WIN_0149,SEC_007
WS_00281,WIN_0150,SEC_006
WS_00282,WIN_0150,SEC_007
