window_id,section_id,block_id,start_time,end_time,duration_min,block_type,available,status,source
WIN_0016,SEC_001,BLK_0003,2026-09-16 12:00:00,2026-09-16 15:00:00,180,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0017,SEC_001,BLK_0003,2026-09-16 16:00:00,2026-09-16 20:00:00,240,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0018,SEC_001,BLK_0003,2026-09-16 20:00:00,2026-09-17 01:00:00,300,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0019,SEC_003,BLK_0004,2026-09-17 00:00:00,2026-09-17 01:00:00,60,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0020,SEC_003,BLK_0004,2026-09-17 04:00:00,2026-09-17 05:30:00,90,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0021,SEC_003,BLK_0004,2026-09-17 08:00:00,2026-09-17 10:00:00,120,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0022,SEC_003,BLK_0004,2026-09-17 12:00:00,2026-09-17 15:00:00,180,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0023,SEC_003,BLK_0004,2026-09-17 16:00:00,2026-09-17 20:00:00,240,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0024,SEC_003,BLK_0004,2026-09-17 20:00:00,2026-09-18 01:00:00,300,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0025,SEC_001,BLK_0005,2026-09-18 00:00:00,2026-09-18 01:00:00,60,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0026,SEC_001,BLK_0005,2026-09-18 04:00:00,2026-09-18 05:30:00,90,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0027,SEC_001,BLK_0005,2026-09-18 08:00:00,2026-09-18 10:00:00,120,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0028,SEC_001,BLK_0005,2026-09-18 12:00:00,2026-09-18 15:00:00,180,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0029,SEC_001,BLK_0005,2026-09-18 16:00:00,2026-09-18 20:00:00,240,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0030,SEC_001,BLK_0005,2026-09-18 20:00:00,2026-09-19 01:00:00,300,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0031,SEC_003,BLK_0006,2026-09-19 00:00:00,2026-09-19 01:00:00,60,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0032,SEC_003,BLK_0006,2026-09-19 04:00:00,2026-09-19 05:30:00,90,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0033,SEC_003,BLK_0006,2026-09-19 08:00:00,2026-09-19 10:00:00,120,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0034,SEC_003,BLK_0006,2026-09-19 12:00:00,2026-09-19 15:00:00,180,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0035,SEC_003,BLK_0006,2026-09-19 16:00:00,2026-09-19 20:00:00,240,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0036,SEC_003,BLK_0006,2026-09-19 20:00:00,2026-09-20 01:00:00,300,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0037,SEC_005,BLK_0007,2026-09-14 00:00:00,2026-09-14 01:00:00,60,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0038,SEC_005,BLK_0007,2026-09-14 04:00:00,2026-09-14 05:30:00,90,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0039,SEC_005,BLK_0007,2026-09-14 08:00:00,2026-09-14 10:00:00,120,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0040,SEC_005,BLK_0007,2026-09-14 12:00:00,2026-09-14 15:00:00,180,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0041,SEC_005,BLK_0007,2026-09-14 16:00:00,2026-09-14 20:00:00,240,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0042,SEC_005,BLK_0007,2026-09-14 20:00:00,2026-09-15 01:00:00,300,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0043,SEC_003,BLK_0008,2026-09-15 00:00:00,2026-09-15 01:00:00,60,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0044,SEC_003,BLK_0008,2026-09-15 04:00:00,2026-09-15 05:30:00,90,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0045,SEC_003,BLK_0008,2026-09-15 08:00:00,2026-09-15 10:00:00,120,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0046,SEC_003,BLK_0008,2026-09-15 12:00:00,2026-09-15 15:00:00,180,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0047,SEC_003,BLK_0008,2026-09-15 16:00:00,2026-09-15 20:00:00,240,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0048,SEC_003,BLK_0008,2026-09-15 20:00:00,2026-09-16 01:00:00,300,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0049,SEC_005,BLK_0009,2026-09-16 00:00:00,2026-09-16 01:00:00,60,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0050,SEC_005,BLK_0009,2026-09-16 04:00:00,2026-09-16 05:30:00,90,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0051,SEC_005,BLK_0009,2026-09-16 08:00:00,2026-09-16 10:00:00,120,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0052,SEC_005,BLK_0009,2026-09-16 12:00:00,2026-09-16 15:00:00,180,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0053,SEC_005,BLK_0009,2026-09-16 16:00:00,2026-09-16 20:00:00,240,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0054,SEC_005,BLK_0009,2026-09-16 20:00:00,2026-09-17 01:00:00,300,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0055,SEC_007,BLK_0010,2026-09-17 00:00:00,2026-09-17 01:00:00,60,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0056,SEC_007,BLK_0010,2026-09-17 04:00:00,2026-09-17 05:30:00,90,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0057,SEC_007,BLK_0010,2026-09-17 08:00:00,2026-09-17 10:00:00,120,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0058,SEC_007,BLK_0010,2026-09-17 12:00:00,2026-09-17 15:00:00,180,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0059,SEC_007,BLK_0010,2026-09-17 16:00:00,2026-09-17 20:00:00,240,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0060,SEC_007,BLK_0010,2026-09-17 20:00:00,2026-09-18 01:00:00,300,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0061,SEC_005,BLK_0011,2026-09-18 00:00:00,2026-09-18 01:00:00,60,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0062,SEC_005,BLK_0011,2026-09-18 04:00:00,2026-09-18 05:30:00,90,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0063,SEC_005,BLK_0011,2026-09-18 08:00:00,2026-09-18 10:00:00,120,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0064,SEC_005,BLK_0011,2026-09-18 12:00:00,2026-09-18 15:00:00,180,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0065,SEC_005,BLK_0011,2026-09-18 16:00:00,2026-09-18 20:00:00,240,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0066,SEC_005,BLK_0011,2026-09-18 20:00:00,2026-09-19 01:00:00,300,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0067,SEC_003,BLK_0012,2026-09-19 00:00:00,2026-09-19 01:00:00,60,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0068,SEC_003,BLK_0012,2026-09-19 04:00:00,2026-09-19 05:30:00,90,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0069,SEC_003,BLK_0012,2026-09-19 08:00:00,2026-09-19 10:00:00,120,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0070,SEC_003,BLK_0012,2026-09-19 12:00:00,2026-09-19 15:00:00,180,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0071,SEC_003,BLK_0012,2026-09-19 16:00:00,2026-09-19 20:00:00,240,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0072,SEC_003,BLK_0012,2026-09-19 20:00:00,2026-09-20 01:00:00,300,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0073,SEC_009,BLK_0013,2026-09-14 00:00:00,2026-09-14 01:00:00,60,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0074,SEC_009,BLK_0013,2026-09-14 04:00:00,2026-09-14 05:30:00,90,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0075,SEC_009,BLK_0013,2026-09-14 08:00:00,2026-09-14 10:00:00,120,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0076,SEC_009,BLK_0013,2026-09-14 12:00:00,2026-09-14 15:00:00,180,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0077,SEC_009,BLK_0013,2026-09-14 16:00:00,2026-09-14 20:00:00,240,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0078,SEC_009,BLK_0013,2026-09-14 20:00:00,2026-09-15 01:00:00,300,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0079,SEC_007,BLK_0014,2026-09-15 00:00:00,2026-09-15 01:00:00,60,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0080,SEC_007,BLK_0014,2026-09-15 04:00:00,2026-09-15 05:30:00,90,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0081,SEC_007,BLK_0014,2026-09-15 08:00:00,2026-09-15 10:00:00,120,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0082,SEC_007,BLK_0014,2026-09-15 12:00:00,2026-09-15 15:00:00,180,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0083,SEC_007,BLK_0014,2026-09-15 16:00:00,2026-09-15 20:00:00,240,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0084,SEC_007,BLK_0014,2026-09-15 20:00:00,2026-09-16 01:00:00,300,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0085,SEC_007,BLK_0015,2026-09-16 00:00:00,2026-09-16 01:00:00,60,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0086,SEC_007,BLK_0015,2026-09-16 04:00:00,2026-09-16 05:30:00,90,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0087,SEC_007,BLK_0015,2026-09-16 08:00:00,2026-09-16 10:00:00,120,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0088,SEC_007,BLK_0015,2026-09-16 12:00:00,2026-09-16 15:00:00,180,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0089,SEC_007,BLK_0015,2026-09-16 16:00:00,2026-09-16 20:00:00,240,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0090,SEC_007,BLK_0015,2026-09-16 20:00:00,2026-09-17 01:00:00,300,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0091,SEC_010,BLK_0016,2026-09-17 00:00:00,2026-09-17 01:00:00,60,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0092,SEC_010,BLK_0016,2026-09-17 04:00:00,2026-09-17 05:30:00,90,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0093,SEC_010,BLK_0016,2026-09-17 08:00:00,2026-09-17 10:00:00,120,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0094,SEC_010,BLK_0016,2026-09-17 12:00:00,2026-09-17 15:00:00,180,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0095,SEC_010,BLK_0016,2026-09-17 16:00:00,2026-09-17 20:00:00,240,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0096,SEC_010,BLK_0016,2026-09-17 20:00:00,2026-09-18 01:00:00,300,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0097,SEC_009,BLK_0017,2026-09-18 00:00:00,2026-09-18 01:00:00,60,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0098,SEC_009,BLK_0017,2026-09-18 04:00:00,2026-09-18 05:30:00,90,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0099,SEC_009,BLK_0017,2026-09-18 08:00:00,2026-09-18 10:00:00,120,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0100,SEC_009,BLK_0017,2026-09-18 12:00:00,2026-09-18 15:00:00,180,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0101,SEC_009,BLK_0017,2026-09-18 16:00:00,2026-09-18 20:00:00,240,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0102,SEC_009,BLK_0017,2026-09-18 20:00:00,2026-09-19 01:00:00,300,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0103,SEC_009,BLK_0018,2026-09-19 00:00:00,2026-09-19 01:00:00,60,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0104,SEC_009,BLK_0018,2026-09-19 04:00:00,2026-09-19 05:30:00,90,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0105,SEC_009,BLK_0018,2026-09-19 08:00:00,2026-09-19 10:00:00,120,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0106,SEC_009,BLK_0018,2026-09-19 12:00:00,2026-09-19 15:00:00,180,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0107,SEC_009,BLK_0018,2026-09-19 16:00:00,2026-09-19 20:00:00,240,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0108,SEC_009,BLK_0018,2026-09-19 20:00:00,2026-09-20 01:00:00,300,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0109,SEC_002,BLK_0019,2026-09-14 00:00:00,2026-09-14 01:00:00,60,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0110,SEC_002,BLK_0019,2026-09-14 04:00:00,2026-09-14 05:30:00,90,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0111,SEC_002,BLK_0019,2026-09-14 08:00:00,2026-09-14 10:00:00,120,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0112,SEC_002,BLK_0019,2026-09-14 12:00:00,2026-09-14 15:00:00,180,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0113,SEC_002,BLK_0019,2026-09-14 16:00:00,2026-09-14 20:00:00,240,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0114,SEC_002,BLK_0019,2026-09-14 20:00:00,2026-09-15 01:00:00,300,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0115,SEC_005,BLK_0020,2026-09-15 00:00:00,2026-09-15 01:00:00,60,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0116,SEC_005,BLK_0020,2026-09-15 04:00:00,2026-09-15 05:30:00,90,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0117,SEC_005,BLK_0020,2026-09-15 08:00:00,2026-09-15 10:00:00,120,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0118,SEC_005,BLK_0020,2026-09-15 12:00:00,2026-09-15 15:00:00,180,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0119,SEC_005,BLK_0020,2026-09-15 16:00:00,2026-09-15 20:00:00,240,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0120,SEC_005,BLK_0020,2026-09-15 20:00:00,2026-09-16 01:00:00,300,COMBINED_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0121,SEC_010,BLK_0021,2026-09-16 00:00:00,2026-09-16 01:00:00,60,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0122,SEC_010,BLK_0021,2026-09-16 04:00:00,2026-09-16 05:30:00,90,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0123,SEC_010,BLK_0021,2026-09-16 08:00:00,2026-09-16 10:00:00,120,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0124,SEC_010,BLK_0021,2026-09-16 12:00:00,2026-09-16 15:00:00,180,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0125,SEC_010,BLK_0021,2026-09-16 16:00:00,2026-09-16 20:00:00,240,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0126,SEC_010,BLK_0021,2026-09-16 20:00:00,2026-09-17 01:00:00,300,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0127,SEC_004,BLK_0022,2026-09-17 00:00:00,2026-09-17 01:00:00,60,TRAFFIC_BLOCK,FALSE,UNAVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0128,SEC_004,BLK_0022,2026-09-17 04:00:00,2026-09-17 05:30:00,90,TRAFFIC_BLOCK,FALSE,UNAVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0129,SEC_004,BLK_0022,2026-09-17 08:00:00,2026-09-17 10:00:00,120,TRAFFIC_BLOCK,FALSE,UNAVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0130,SEC_004,BLK_0022,2026-09-17 12:00:00,2026-09-17 15:00:00,180,TRAFFIC_BLOCK,FALSE,UNAVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0131,SEC_004,BLK_0022,2026-09-17 16:00:00,2026-09-17 20:00:00,240,TRAFFIC_BLOCK,FALSE,UNAVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0132,SEC_004,BLK_0022,2026-09-17 20:00:00,2026-09-18 01:00:00,300,TRAFFIC_BLOCK,FALSE,UNAVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0133,SEC_010,BLK_0023,2026-09-18 00:00:00,2026-09-18 01:00:00,60,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0134,SEC_010,BLK_0023,2026-09-18 04:00:00,2026-09-18 05:30:00,90,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0135,SEC_010,BLK_0023,2026-09-18 08:00:00,2026-09-18 10:00:00,120,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0136,SEC_010,BLK_0023,2026-09-18 12:00:00,2026-09-18 15:00:00,180,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0137,SEC_010,BLK_0023,2026-09-18 16:00:00,2026-09-18 20:00:00,240,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0138,SEC_010,BLK_0023,2026-09-18 20:00:00,2026-09-19 01:00:00,300,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0139,SEC_004,BLK_0024,2026-09-19 00:00:00,2026-09-19 01:00:00,60,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0140,SEC_004,BLK_0024,2026-09-19 04:00:00,2026-09-19 05:30:00,90,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0141,SEC_004,BLK_0024,2026-09-19 08:00:00,2026-09-19 10:00:00,120,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0142,SEC_004,BLK_0024,2026-09-19 12:00:00,2026-09-19 15:00:00,180,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0143,SEC_004,BLK_0024,2026-09-19 16:00:00,2026-09-19 20:00:00,240,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0144,SEC_004,BLK_0024,2026-09-19 20:00:00,2026-09-20 01:00:00,300,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0145,SEC_006,BLK_0025,2026-09-14 00:00:00,2026-09-14 01:00:00,60,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0146,SEC_006,BLK_0025,2026-09-14 04:00:00,2026-09-14 05:30:00,90,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0147,SEC_006,BLK_0025,2026-09-14 08:00:00,2026-09-14 10:00:00,120,TRAFFIC_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
