task_id,block_id,required_block_type,minimum_block_duration_min,setup_duration_min,release_duration_min,requires_power_isolation,requires_traffic_block,requires_signal_block
TASK_000033,BLK_0005,TRAFFIC_BLOCK,240,10,5,FALSE,TRUE,FALSE
TASK_000034,BLK_0014,POWER_BLOCK,120,10,5,TRUE,FALSE,FALSE
TASK_000035,BLK_0012,SIGNAL_BLOCK,120,10,5,FALSE,FALSE,TRUE
TASK_000036,BLK_0005,POWER_BLOCK,120,10,5,TRUE,FALSE,FALSE
TASK_000037,BLK_0018,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000038,BLK_0007,TRAFFIC_BLOCK,60,5,5,FALSE,TRUE,FALSE
TASK_000039,BLK_0012,POWER_BLOCK,150,10,5,TRUE,FALSE,FALSE
TASK_000040,BLK_0021,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000041,BLK_0025,TRAFFIC_BLOCK,120,10,5,FALSE,TRUE,FALSE
TASK_000042,BLK_0012,POWER_BLOCK,150,10,5,TRUE,FALSE,FALSE
TASK_000043,BLK_0005,TRAFFIC_BLOCK,60,5,5,FALSE,TRUE,FALSE
TASK_000044,BLK_0014,POWER_BLOCK,120,10,5,TRUE,FALSE,FALSE
TASK_000045,BLK_0012,SIGNAL_BLOCK,45,5,5,FALSE,FALSE,TRUE
TASK_000046,BLK_0019,TRAFFIC_BLOCK,120,10,5,FALSE,TRUE,FALSE
TASK_000047,BLK_0017,POWER_BLOCK,45,5,5,TRUE,FALSE,FALSE
TASK_000048,BLK_0009,SIGNAL_BLOCK,180,10,5,FALSE,FALSE,TRUE
TASK_000049,BLK_0012,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000050,BLK_0023,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000051,BLK_0025,TRAFFIC_BLOCK,30,5,5,FALSE,TRUE,FALSE
TASK_000052,BLK_0012,POWER_BLOCK,45,5,5,TRUE,FALSE,FALSE
TASK_000053,BLK_0003,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000054,BLK_0010,TRAFFIC_BLOCK,150,10,5,FALSE,TRUE,FALSE
TASK_000055,BLK_0012,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000056,BLK_0003,SIGNAL_BLOCK,75,5,5,FALSE,FALSE,TRUE
TASK_000057,BLK_0013,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000058,BLK_0009,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000059,BLK_0012,TRAFFIC_BLOCK,120,10,5,FALSE,TRUE,FALSE
TASK_000060,BLK_0023,POWER_BLOCK,30,5,5,TRUE,FALSE,FALSE
TASK_000061,BLK_0020,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000062,BLK_0012,TRAFFIC_BLOCK,90,10,5,FALSE,TRUE,FALSE
TASK_000063,BLK_0005,POWER_BLOCK,30,5,5,TRUE,FALSE,FALSE
TASK_000064,BLK_0015,SIGNAL_BLOCK,30,5,5,FALSE,FALSE,TRUE
TASK_000065,BLK_0012,POWER_BLOCK,90,10,5,TRUE,FALSE,FALSE
TASK_000066,BLK_0003,SIGNAL_BLOCK,120,10,5,FALSE,FALSE,TRUE
TASK_000067,BLK_0013,TRAFFIC_BLOCK,75,5,5,FALSE,TRUE,FALSE
TASK_000068,BLK_0011,POWER_BLOCK,75,5,5,TRUE,FALSE,FALSE
TASK_000069,BLK_0012,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000070,BLK_0016,TRAFFIC_BLOCK,240,10,5,FALSE,TRUE,FALSE
TASK_000071,BLK_0014,POWER_BLOCK,60,5,5,TRUE,FALSE,FALSE
TASK_000072,BLK_0012,TRAFFIC_BLOCK,45,5,5,FALSE,TRUE,FALSE
TASK_000073,BLK_0005,POWER_BLOCK,90,10,5,TRUE,FALSE,FALSE
TASK_000074,BLK_0015,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000075,BLK_0012,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000076,BLK_0005,POWER_BLOCK,150,10,5,TRUE,FALSE,FALSE
TASK_000077,BLK_0018,SIGNAL_BLOCK,75,5,5,FALSE,FALSE,TRUE
TASK_000078,BLK_0007,TRAFFIC_BLOCK,75,5,5,FALSE,TRUE,FALSE
TASK_000079,BLK_0012,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000080,BLK_0016,TRAFFIC_BLOCK,90,10,5,FALSE,TRUE,FALSE
TASK_000081,BLK_0014,POWER_BLOCK,75,5,5,TRUE,FALSE,FALSE
TASK_000082,BLK_0012,SIGNAL_BLOCK,240,10,5,FALSE,FALSE,TRUE
TASK_000083,BLK_0005,TRAFFIC_BLOCK,120,10,5,FALSE,TRUE,FALSE
TASK_000084,BLK_0014,POWER_BLOCK,150,10,5,TRUE,FALSE,FALSE
TASK_000085,BLK_0012,SIGNAL_BLOCK,45,5,5,FALSE,FALSE,TRUE
TASK_000086,BLK_0005,POWER_BLOCK,45,5,5,TRUE,FALSE,FALSE
TASK_000087,BLK_0018,SIGNAL_BLOCK,30,5,5,FALSE,FALSE,TRUE
TASK_000088,BLK_0007,TRAFFIC_BLOCK,75,5,5,FALSE,TRUE,FALSE
TASK_000089,BLK_0012,POWER_BLOCK,120,10,5,TRUE,FALSE,FALSE
TASK_000090,BLK_0021,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000091,BLK_0025,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000092,BLK_0012,POWER_BLOCK,60,5,5,TRUE,FALSE,FALSE
TASK_000093,BLK_0005,TRAFFIC_BLOCK,120,10,5,FALSE,TRUE,FALSE
TASK_000094,BLK_0014,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000095,BLK_0012,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000096,BLK_0019,TRAFFIC_BLOCK,45,5,5,FALSE,TRUE,FALSE
TASK_000097,BLK_0017,POWER_BLOCK,30,5,5,TRUE,FALSE,FALSE
TASK_000098,BLK_0009,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000099,BLK_0012,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000100,BLK_0023,POWER_BLOCK,30,5,5,TRUE,FALSE,FALSE
TASK_000101,BLK_0025,TRAFFIC_BLOCK,120,10,5,FALSE,TRUE,FALSE
TASK_000102,BLK_0012,POWER_BLOCK,75,5,5,TRUE,FALSE,FALSE
TASK_000103,BLK_0003,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000104,BLK_0010,TRAFFIC_BLOCK,120,10,5,FALSE,TRUE,FALSE
TASK_000105,BLK_0012,POWER_BLOCK,150,10,5,TRUE,FALSE,FALSE
TASK_000106,BLK_0003,SIGNAL_BLOCK,30,5,5,FALSE,FALSE,TRUE
TASK_000107,BLK_0013,TRAFFIC_BLOCK,60,5,5,FALSE,TRUE,FALSE
TASK_000108,BLK_0009,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000109,BLK_0012,TRAFFIC_BLOCK,90,10,5,FALSE,TRUE,FALSE
TASK_000110,BLK_0023,POWER_BLOCK,120,10,5,TRUE,FALSE,FALSE
TASK_000111,BLK_0020,SIGNAL_BLOCK,45,5,5,FALSE,FALSE,TRUE
TASK_000112,BLK_0012,TRAFFIC_BLOCK,150,10,5,FALSE,TRUE,FALSE
TASK_000113,BLK_0005,POWER_BLOCK,150,10,5,TRUE,FALSE,FALSE
TASK_000114,BLK_0015,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000115,BLK_0012,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000116,BLK_0003,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000117,BLK_0013,TRAFFIC_BLOCK,240,10,5,FALSE,TRUE,FALSE
TASK_000118,BLK_0011,POWER_BLOCK,150,10,5,TRUE,FALSE,FALSE
TASK_000119,BLK_0012,SIGNAL_BLOCK,30,5,5,FALSE,FALSE,TRUE
TASK_000120,BLK_0016,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000121,BLK_0014,POWER_BLOCK,30,5,5,TRUE,FALSE,FALSE
TASK_000122,BLK_0012,TRAFFIC_BLOCK,120,10,5,FALSE,TRUE,FALSE
TASK_000123,BLK_0005,POWER_BLOCK,90,10,5,TRUE,FALSE,FALSE
TASK_000124,BLK_0015,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000125,BLK_0012,TRAFFIC_BLOCK,45,5,5,FALSE,TRUE,FALSE
TASK_000126,BLK_0005,POWER_BLOCK,150,10,5,TRUE,FALSE,FALSE
TASK_000127,BLK_0018,SIGNAL_BLOCK,120,10,5,FALSE,FALSE,TRUE
TASK_000128,BLK_0007,TRAFFIC_BLOCK,150,10,5,FALSE,TRUE,FALSE
TASK_000129,BLK_0012,SIGNAL_BLOCK,30,5,5,FALSE,FALSE,TRUE
TASK_000130,BLK_0016,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000131,BLK_0014,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000132,BLK_0012,SIGNAL_BLOCK,75,5,5,FALSE,FALSE,TRUE
TASK_000133,BLK_0005,TRAFFIC_BLOCK,60,5,5,FALSE,TRUE,FALSE
TASK_000134,BLK_0014,POWER_BLOCK,150,10,5,TRUE,FALSE,FALSE
TASK_000135,BLK_0012,SIGNAL_BLOCK,75,5,5,FALSE,FALSE,TRUE
TASK_000136,BLK_0005,POWER_BLOCK,30,5,5,TRUE,FALSE,FALSE
TASK_000137,BLK_0018,SIGNAL_BLOCK,45,5,5,FALSE,FALSE,TRUE
TASK_000138,BLK_0007,TRAFFIC_BLOCK,150,10,5,FALSE,TRUE,FALSE
TASK_000139,BLK_0012,POWER_BLOCK,45,5,5,TRUE,FALSE,FALSE
TASK_000140,BLK_0021,SIGNAL_BLOCK,150,10,5,FALSE,FALSE,TRUE
TASK_000141,BLK_0025,TRAFFIC_BLOCK,30,5,5,FALSE,TRUE,FALSE
TASK_000142,BLK_0012,POWER_BLOCK,90,10,5,TRUE,FALSE,FALSE
TASK_000143,BLK_0005,TRAFFIC_BLOCK,45,5,5,FALSE,TRUE,FALSE
TASK_000144,BLK_0014,POWER_BLOCK,240,10,5,TRUE,FALSE,FALSE
TASK_000145,BLK_0012,SIGNAL_BLOCK,75,5,5,FALSE,FALSE,TRUE
TASK_000146,BLK_0019,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000147,BLK_0017,POWER_BLOCK,150,10,5,TRUE,FALSE,FALSE
TASK_000148,BLK_0009,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000149,BLK_0012,TRAFFIC_BLOCK,150,10,5,FALSE,TRUE,FALSE
TASK_000150,BLK_0023,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000151,BLK_0025,TRAFFIC_BLOCK,150,10,5,FALSE,TRUE,FALSE
TASK_000152,BLK_0012,POWER_BLOCK,240,10,5,TRUE,FALSE,FALSE
TASK_000153,BLK_0003,SIGNAL_BLOCK,75,5,5,FALSE,FALSE,TRUE
TASK_000154,BLK_0010,TRAFFIC_BLOCK,150,10,5,FALSE,TRUE,FALSE
TASK_000155,BLK_0012,POWER_BLOCK,30,5,5,TRUE,FALSE,FALSE
TASK_000156,BLK_0003,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000157,BLK_0013,TRAFFIC_BLOCK,75,5,5,FALSE,TRUE,FALSE
TASK_000158,BLK_0009,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000159,BLK_0012,TRAFFIC_BLOCK,120,10,5,FALSE,TRUE,FALSE
TASK_000160,BLK_0023,POWER_BLOCK,60,5,5,TRUE,FALSE,FALSE
TASK_000161,BLK_0020,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000162,BLK_0012,TRAFFIC_BLOCK,120,10,5,FALSE,TRUE,FALSE
TASK_000163,BLK_0005,POWER_BLOCK,60,5,5,TRUE,FALSE,FALSE
TASK_000164,BLK_0015,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000165,BLK_0012,POWER_BLOCK,45,5,5,TRUE,FALSE,FALSE
TASK_000166,BLK_0003,SIGNAL_BLOCK,120,10,5,FALSE,FALSE,TRUE
TASK_000167,BLK_0013,TRAFFIC_BLOCK,90,10,5,FALSE,TRUE,FALSE
TASK_000168,BLK_0011,POWER_BLOCK,120,10,5,TRUE,FALSE,FALSE
TASK_000169,BLK_0012,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000170,BLK_0016,TRAFFIC_BLOCK,75,5,5,FALSE,TRUE,FALSE
TASK_000171,BLK_0014,POWER_BLOCK,45,5,5,TRUE,FALSE,FALSE
TASK_000172,BLK_0012,TRAFFIC_BLOCK,240,10,5,FALSE,TRUE,FALSE
TASK_000173,BLK_0005,POWER_BLOCK,90,10,5,TRUE,FALSE,FALSE
TASK_000174,BLK_0015,SIGNAL_BLOCK,120,10,5,FALSE,FALSE,TRUE
TASK_000175,BLK_0012,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000176,BLK_0005,POWER_BLOCK,240,10,5,TRUE,FALSE,FALSE
TASK_000177,BLK_0018,SIGNAL_BLOCK,240,10,5,FALSE,FALSE,TRUE
TASK_000178,BLK_0007,TRAFFIC_BLOCK,90,10,5,FALSE,TRUE,FALSE
TASK_000179,BLK_0012,SIGNAL_BLOCK,30,5,5,FALSE,FALSE,TRUE
TASK_000180,BLK_0016,TRAFFIC_BLOCK,75,5,5,FALSE,TRUE,FALSE
TASK_000181,BLK_0014,POWER_BLOCK,90,10,5,TRUE,FALSE,FALSE
TASK_000182,BLK_0012,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000183,BLK_0005,TRAFFIC_BLOCK,75,5,5,FALSE,TRUE,FALSE
TASK_000184,BLK_0014,POWER_BLOCK,75,5,5,TRUE,FALSE,FALSE
TASK_000185,BLK_0012,SIGNAL_BLOCK,30,5,5,FALSE,FALSE,TRUE
TASK_000186,BLK_0005,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000187,BLK_0018,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000188,BLK_0007,TRAFFIC_BLOCK,60,5,5,FALSE,TRUE,FALSE
TASK_000189,BLK_0012,POWER_BLOCK,30,5,5,TRUE,FALSE,FALSE
TASK_000190,BLK_0021,SIGNAL_BLOCK,240,10,5,FALSE,FALSE,TRUE
TASK_000191,BLK_0025,TRAFFIC_BLOCK,240,10,5,FALSE,TRUE,FALSE
TASK_000192,BLK_0012,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000193,BLK_0005,TRAFFIC_BLOCK,75,5,5,FALSE,TRUE,FALSE
TASK_000194,BLK_0014,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000195,BLK_0012,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000196,BLK_0019,TRAFFIC_BLOCK,90,10,5,FALSE,TRUE,FALSE
TASK_000197,BLK_0017,POWER_BLOCK,240,10,5,TRUE,FALSE,FALSE
TASK_000198,BLK_0009,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000199,BLK_0012,TRAFFIC_BLOCK,75,5,5,FALSE,TRUE,FALSE
TASK_000200,BLK_0023,POWER_BLOCK,75,5,5,TRUE,FALSE,FALSE
TASK_000201,BLK_0025,TRAFFIC_BLOCK,60,5,5,FALSE,TRUE,FALSE
TASK_000202,BLK_0012,POWER_BLOCK,45,5,5,TRUE,FALSE,FALSE
TASK_000203,BLK_0003,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000204,BLK_0010,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000205,BLK_0012,POWER_BLOCK,240,10,5,TRUE,FALSE,FALSE
TASK_000206,BLK_0003,SIGNAL_BLOCK,150,10,5,FALSE,FALSE,TRUE
TASK_000207,BLK_0013,TRAFFIC_BLOCK,120,10,5,FALSE,TRUE,FALSE
TASK_000208,BLK_0009,SIGNAL_BLOCK,75,5,5,FALSE,FALSE,TRUE
TASK_000209,BLK_0012,TRAFFIC_BLOCK,150,10,5,FALSE,TRUE,FALSE
TASK_000210,BLK_0023,POWER_BLOCK,90,10,5,TRUE,FALSE,FALSE
TASK_000211,BLK_0020,SIGNAL_BLOCK,180,10,5,FALSE,FALSE,TRUE
TASK_000212,BLK_0012,TRAFFIC_BLOCK,240,10,5,FALSE,TRUE,FALSE
TASK_000213,BLK_0005,POWER_BLOCK,240,10,5,TRUE,FALSE,FALSE
TASK_000214,BLK_0015,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000215,BLK_0012,POWER_BLOCK,75,5,5,TRUE,FALSE,FALSE
TASK_000216,BLK_0003,SIGNAL_BLOCK,240,10,5,FALSE,FALSE,TRUE
TASK_000217,BLK_0013,TRAFFIC_BLOCK,60,5,5,FALSE,TRUE,FALSE
TASK_000218,BLK_0011,POWER_BLOCK,45,5,5,TRUE,FALSE,FALSE
TASK_000219,BLK_0012,SIGNAL_BLOCK,240,10,5,FALSE,FALSE,TRUE
TASK_000220,BLK_0016,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000221,BLK_0014,POWER_BLOCK,90,10,5,TRUE,FALSE,FALSE
TASK_000222,BLK_0012,TRAFFIC_BLOCK,240,10,5,FALSE,TRUE,FALSE
TASK_000223,BLK_0005,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000224,BLK_0015,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000225,BLK_0012,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000226,BLK_0005,POWER_BLOCK,90,10,5,TRUE,FALSE,FALSE
TASK_000227,BLK_0018,SIGNAL_BLOCK,180,10,5,FALSE,FALSE,TRUE
TASK_000228,BLK_0007,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000229,BLK_0012,SIGNAL_BLOCK,240,10,5,FALSE,FALSE,TRUE
TASK_000230,BLK_0016,TRAFFIC_BLOCK,120,10,5,FALSE,TRUE,FALSE
TASK_000231,BLK_0014,POWER_BLOCK,75,5,5,TRUE,FALSE,FALSE
TASK_000232,BLK_0012,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000233,BLK_0005,TRAFFIC_BLOCK,120,10,5,FALSE,TRUE,FALSE
TASK_000234,BLK_0014,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000235,BLK_0012,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000236,BLK_0005,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000237,BLK_0018,SIGNAL_BLOCK,180,10,5,FALSE,FALSE,TRUE
TASK_000238,BLK_0007,TRAFFIC_BLOCK,60,5,5,FALSE,TRUE,FALSE
TASK_000239,BLK_0012,POWER_BLOCK,120,10,5,TRUE,FALSE,FALSE
TASK_000240,BLK_0021,SIGNAL_BLOCK,75,5,5,FALSE,FALSE,TRUE
TASK_000241,BLK_0025,TRAFFIC_BLOCK,120,10,5,FALSE,TRUE,FALSE
TASK_000242,BLK_0012,POWER_BLOCK,90,10,5,TRUE,FALSE,FALSE
TASK_000243,BLK_0005,TRAFFIC_BLOCK,30,5,5,FALSE,TRUE,FALSE
TASK_000244,BLK_0014,POWER_BLOCK,90,10,5,TRUE,FALSE,FALSE
TASK_000245,BLK_0012,SIGNAL_BLOCK,120,10,5,FALSE,FALSE,TRUE
TASK_000246,BLK_0019,TRAFFIC_BLOCK,120,10,5,FALSE,TRUE,FALSE
TASK_000247,BLK_0017,POWER_BLOCK,240,10,5,TRUE,FALSE,FALSE
TASK_000248,BLK_0009,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000249,BLK_0012,TRAFFIC_BLOCK,240,10,5,FALSE,TRUE,FALSE
TASK_000250,BLK_0023,POWER_BLOCK,75,5,5,TRUE,FALSE,FALSE
TASK_000251,BLK_0025,TRAFFIC_BLOCK,90,10,5,FALSE,TRUE,FALSE
TASK_000252,BLK_0012,POWER_BLOCK,240,10,5,TRUE,FALSE,FALSE
TASK_000253,BLK_0003,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000254,BLK_0010,TRAFFIC_BLOCK,90,10,5,FALSE,TRUE,FALSE
TASK_000255,BLK_0012,POWER_BLOCK,30,5,5,TRUE,FALSE,FALSE
TASK_000256,BLK_0003,SIGNAL_BLOCK,120,10,5,FALSE,FALSE,TRUE
TASK_000257,BLK_0013,TRAFFIC_BLOCK,60,5,5,FALSE,TRUE,FALSE
TASK_000258,BLK_0009,SIGNAL_BLOCK,180,10,5,FALSE,FALSE,TRUE
TASK_000259,BLK_0012,TRAFFIC_BLOCK,75,5,5,FALSE,TRUE,FALSE
TASK_000260,BLK_0023,POWER_BLOCK,150,10,5,TRUE,FALSE,FALSE
TASK_000261,BLK_0020,SIGNAL_BLOCK,240,10,5,FALSE,FALSE,TRUE
TASK_000262,BLK_0012,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000263,BLK_0005,POWER_BLOCK,120,10,5,TRUE,FALSE,FALSE
TASK_000264,BLK_0015,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000265,BLK_0012,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000266,BLK_0003,SIGNAL_BLOCK,240,10,5,FALSE,FALSE,TRUE
TASK_000267,BLK_0013,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000268,BLK_0011,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000269,BLK_0012,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000270,BLK_0016,TRAFFIC_BLOCK,75,5,5,FALSE,TRUE,FALSE
TASK_000271,BLK_0014,POWER_BLOCK,30,5,5,TRUE,FALSE,FALSE
TASK_000272,BLK_0012,TRAFFIC_BLOCK,30,5,5,FALSE,TRUE,FALSE
TASK_000273,BLK_0005,POWER_BLOCK,60,5,5,TRUE,FALSE,FALSE
TASK_000274,BLK_0015,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000275,BLK_0012,TRAFFIC_BLOCK,120,10,5,FALSE,TRUE,FALSE
TASK_000276,BLK_0005,POWER_BLOCK,30,5,5,TRUE,FALSE,FALSE
TASK_000277,BLK_0018,SIGNAL_BLOCK,30,5,5,FALSE,FALSE,TRUE
TASK_000278,BLK_0007,TRAFFIC_BLOCK,75,5,5,FALSE,TRUE,FALSE
TASK_000279,BLK_0012,SIGNAL_BLOCK,240,10,5,FALSE,FALSE,TRUE
TASK_000280,BLK_0016,TRAFFIC_BLOCK,30,5,5,FALSE,TRUE,FALSE
TASK_000281,BLK_0014,POWER_BLOCK,240,10,5,TRUE,FALSE,FALSE
TASK_000282,BLK_0012,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000283,BLK_0005,TRAFFIC_BLOCK,150,10,5,FALSE,TRUE,FALSE
TASK_000284,BLK_0014,POWER_BLOCK,120,10,5,TRUE,FALSE,FALSE
TASK_000285,BLK_0012,SIGNAL_BLOCK,150,10,5,FALSE,FALSE,TRUE
TASK_000286,BLK_0005,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000287,BLK_0018,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000288,BLK_0007,TRAFFIC_BLOCK,90,10,5,FALSE,TRUE,FALSE
TASK_000289,BLK_0012,POWER_BLOCK,240,10,5,TRUE,FALSE,FALSE
TASK_000290,BLK_0021,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000291,BLK_0025,TRAFFIC_BLOCK,60,5,5,FALSE,TRUE,FALSE
TASK_000292,BLK_0012,POWER_BLOCK,45,5,5,TRUE,FALSE,FALSE
TASK_000293,BLK_0005,TRAFFIC_BLOCK,75,5,5,FALSE,TRUE,FALSE
