movement_id,train_id,train_type,section_id,entry_time,exit_time,direction,priority,is_freight,scheduled_or_forecast,forecast_confidence,movement_status
MOV_000021,SYN_TRAIN_0021,OTHER,SEC_010,2026-09-19 06:50:00,2026-09-19 07:00:00,DOWN,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000022,SYN_TRAIN_0022,MAINTENANCE,SEC_003,2026-09-16 04:35:00,2026-09-16 04:45:00,UP,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000023,SYN_TRAIN_0023,EXPRESS,SEC_008,2026-09-14 13:15:00,2026-09-14 13:27:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000024,SYN_TRAIN_0024,PASSENGER,SEC_005,2026-09-16 08:55:00,2026-09-16 09:15:00,DOWN,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000025,SYN_TRAIN_0025,FREIGHT,SEC_002,2026-09-14 03:10:00,2026-09-14 03:30:00,DOWN,LOW,TRUE,SCHEDULED,1.000,PLANNED
MOV_000026,SYN_TRAIN_0026,EXPRESS,SEC_005,2026-09-16 21:55:00,2026-09-16 22:00:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000027,SYN_TRAIN_0027,MAINTENANCE,SEC_006,2026-09-19 17:05:00,2026-09-19 17:30:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000028,SYN_TRAIN_0028,EXPRESS,SEC_007,2026-09-14 08:45:00,2026-09-14 09:15:00,UP,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000029,SYN_TRAIN_0029,OTHER,SEC_002,2026-09-19 20:05:00,2026-09-19 20:20:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000030,SYN_TRAIN_0030,FREIGHT,SEC_006,2026-09-14 18:20:00,2026-09-14 18:32:00,DOWN,MEDIUM,TRUE,SCHEDULED,1.000,PLANNED
MOV_000031,SYN_TRAIN_0031,PASSENGER,SEC_006,2026-09-15 16:50:00,2026-09-15 17:10:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000032,SYN_TRAIN_0032,PASSENGER,SEC_001,2026-09-16 18:05:00,2026-09-16 18:17:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000033,SYN_TRAIN_0033,OTHER,SEC_006,2026-09-15 20:05:00,2026-09-15 20:15:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000034,SYN_TRAIN_0034,FREIGHT,SEC_003,2026-09-14 12:20:00,2026-09-14 12:40:00,UP,HIGH,TRUE,SCHEDULED,1.000,PLANNED
MOV_000035,SYN_TRAIN_0035,PASSENGER,SEC_001,2026-09-16 17:55:00,2026-09-16 18:05:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000036,SYN_TRAIN_0036,PASSENGER,SEC_004,2026-09-20 20:25:00,2026-09-20 20:50:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000037,SYN_TRAIN_0037,PASSENGER,SEC_005,2026-09-16 07:25:00,2026-09-16 07:50:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000038,SYN_TRAIN_0038,FREIGHT,SEC_010,2026-09-20 15:20:00,2026-09-20 15:35:00,DOWN,MEDIUM,TRUE,SCHEDULED,1.000,PLANNED
MOV_000039,SYN_TRAIN_0039,EXPRESS,SEC_008,2026-09-16 16:10:00,2026-09-16 16:40:00,DOWN,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000040,SYN_TRAIN_0040,PASSENGER,SEC_005,2026-09-19 16:10:00,2026-09-19 16:18:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000041,SYN_TRAIN_0041,EXPRESS,SEC_003,2026-09-19 08:10:00,2026-09-19 08:22:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000042,SYN_TRAIN_0042,PASSENGER,SEC_009,2026-09-20 10:20:00,2026-09-20 10:35:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000043,SYN_TRAIN_0043,PASSENGER,SEC_004,2026-09-16 20:20:00,2026-09-16 20:35:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000044,SYN_TRAIN_0044,FREIGHT,SEC_009,2026-09-20 18:25:00,2026-09-20 18:37:00,UP,LOW,TRUE,SCHEDULED,1.000,PLANNED
MOV_000045,SYN_TRAIN_0045,FREIGHT,SEC_008,2026-09-14 18:05:00,2026-09-14 18:30:00,DOWN,LOW,TRUE,SCHEDULED,1.000,PLANNED
MOV_000046,SYN_TRAIN_0046,PASSENGER,SEC_008,2026-09-20 04:20:00,2026-09-20 04:28:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000047,SYN_TRAIN_0047,PASSENGER,SEC_004,2026-09-14 21:40:00,2026-09-14 22:10:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000048,SYN_TRAIN_0048,MAINTENANCE,SEC_007,2026-09-20 08:20:00,2026-09-20 08:40:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000049,SYN_TRAIN_0049,EXPRESS,SEC_007,2026-09-20 17:00:00,2026-09-20 17:20:00,UP,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000050,SYN_TRAIN_0050,PASSENGER,SEC_003,2026-09-15 14:20:00,2026-09-15 14:32:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000051,SYN_TRAIN_0051,PASSENGER,SEC_008,2026-09-14 22:55:00,2026-09-14 23:10:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000052,SYN_TRAIN_0052,FREIGHT,SEC_008,2026-09-14 11:50:00,2026-09-14 12:05:00,UP,HIGH,TRUE,SCHEDULED,1.000,PLANNED
MOV_000053,SYN_TRAIN_0053,PASSENGER,SEC_007,2026-09-14 17:35:00,2026-09-14 18:00:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000054,SYN_TRAIN_0054,EXPRESS,SEC_008,2026-09-18 05:20:00,2026-09-18 05:50:00,DOWN,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000055,SYN_TRAIN_0055,EXPRESS,SEC_008,2026-09-17 06:45:00,2026-09-17 07:05:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000056,SYN_TRAIN_0056,OTHER,SEC_001,2026-09-15 14:05:00,2026-09-15 14:30:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000057,SYN_TRAIN_0057,EXPRESS,SEC_004,2026-09-19 17:20:00,2026-09-19 17:25:00,DOWN,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000058,SYN_TRAIN_0058,PASSENGER,SEC_005,2026-09-18 16:00:00,2026-09-18 16:15:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000059,SYN_TRAIN_0059,FREIGHT,SEC_001,2026-09-15 19:10:00,2026-09-15 19:20:00,UP,LOW,TRUE,SCHEDULED,1.000,PLANNED
MOV_000060,SYN_TRAIN_0060,PASSENGER,SEC_004,2026-09-20 11:45:00,2026-09-20 12:15:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000061,SYN_TRAIN_0061,MAINTENANCE,SEC_004,2026-09-17 18:15:00,2026-09-17 18:35:00,DOWN,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000062,SYN_TRAIN_0062,EXPRESS,SEC_010,2026-09-18 18:15:00,2026-09-18 18:45:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000063,SYN_TRAIN_0063,FREIGHT,SEC_001,2026-09-16 02:30:00,2026-09-16 02:42:00,DOWN,HIGH,TRUE,SCHEDULED,1.000,PLANNED
MOV_000064,SYN_TRAIN_0064,PASSENGER,SEC_008,2026-09-15 08:30:00,2026-09-15 08:42:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000065,SYN_TRAIN_0065,EXPRESS,SEC_004,2026-09-16 18:05:00,2026-09-16 18:13:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000066,SYN_TRAIN_0066,PASSENGER,SEC_005,2026-09-18 17:50:00,2026-09-18 18:15:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000067,SYN_TRAIN_0067,FREIGHT,SEC_008,2026-09-14 23:15:00,2026-09-14 23:20:00,DOWN,MEDIUM,TRUE,SCHEDULED,1.000,PLANNED
MOV_000068,SYN_TRAIN_0068,PASSENGER,SEC_010,2026-09-15 11:05:00,2026-09-15 11:25:00,DOWN,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000069,SYN_TRAIN_0069,MAINTENANCE,SEC_003,2026-09-16 16:30:00,2026-09-16 16:45:00,UP,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000070,SYN_TRAIN_0070,EXPRESS,SEC_004,2026-09-20 11:35:00,2026-09-20 11:47:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000071,SYN_TRAIN_0071,PASSENGER,SEC_001,2026-09-14 10:25:00,2026-09-14 10:40:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000072,SYN_TRAIN_0072,FREIGHT,SEC_005,2026-09-17 19:40:00,2026-09-17 20:00:00,UP,MEDIUM,TRUE,SCHEDULED,1.000,PLANNED
MOV_000073,SYN_TRAIN_0073,PASSENGER,SEC_003,2026-09-18 22:50:00,2026-09-18 23:10:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000074,SYN_TRAIN_0074,PASSENGER,SEC_009,2026-09-14 17:35:00,2026-09-14 17:55:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000075,SYN_TRAIN_0075,FREIGHT,SEC_009,2026-09-19 05:00:00,2026-09-19 05:10:00,UP,HIGH,TRUE,SCHEDULED,1.000,PLANNED
MOV_000076,SYN_TRAIN_0076,FREIGHT,SEC_001,2026-09-14 11:40:00,2026-09-14 12:00:00,UP,LOW,TRUE,SCHEDULED,1.000,PLANNED
MOV_000077,SYN_TRAIN_0077,PASSENGER,SEC_006,2026-09-17 20:15:00,2026-09-17 20:27:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000078,SYN_TRAIN_0078,EXPRESS,SEC_006,2026-09-19 20:40:00,2026-09-19 20:52:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000079,SYN_TRAIN_0079,FREIGHT,SEC_002,2026-09-16 05:40:00,2026-09-16 05:50:00,UP,LOW,TRUE,SCHEDULED,1.000,PLANNED
MOV_000080,SYN_TRAIN_0080,PASSENGER,SEC_008,2026-09-16 18:45:00,2026-09-16 18:53:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000081,SYN_TRAIN_0081,MAINTENANCE,SEC_007,2026-09-15 20:10:00,2026-09-15 20:22:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000082,SYN_TRAIN_0082,FREIGHT,SEC_006,2026-09-18 17:15:00,2026-09-18 17:40:00,UP,LOW,TRUE,SCHEDULED,1.000,PLANNED
MOV_000083,SYN_TRAIN_0083,FREIGHT,SEC_010,2026-09-16 04:25:00,2026-09-16 04:55:00,UP,HIGH,TRUE,SCHEDULED,1.000,PLANNED
MOV_000084,SYN_TRAIN_0084,FREIGHT,SEC_006,2026-09-18 13:20:00,2026-09-18 13:32:00,DOWN,MEDIUM,TRUE,SCHEDULED,1.000,PLANNED
MOV_000085,SYN_TRAIN_0085,PASSENGER,SEC_008,2026-09-18 19:15:00,2026-09-18 19:40:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000086,SYN_TRAIN_0086,PASSENGER,SEC_009,2026-09-15 20:15:00,2026-09-15 20:27:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000087,SYN_TRAIN_0087,PASSENGER,SEC_009,2026-09-20 22:45:00,2026-09-20 23:15:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000088,SYN_TRAIN_0088,EXPRESS,SEC_007,2026-09-17 20:05:00,2026-09-17 20:30:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000089,SYN_TRAIN_0089,OTHER,SEC_010,2026-09-15 18:45:00,2026-09-15 18:57:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000090,SYN_TRAIN_0090,EXPRESS,SEC_001,2026-09-18 01:50:00,2026-09-18 02:02:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000091,SYN_TRAIN_0091,EXPRESS,SEC_002,2026-09-20 00:50:00,2026-09-20 01:02:00,UP,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000092,SYN_TRAIN_0092,PASSENGER,SEC_006,2026-09-19 00:55:00,2026-09-19 01:20:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000093,SYN_TRAIN_0093,FREIGHT,SEC_004,2026-09-18 05:55:00,2026-09-18 06:25:00,DOWN,LOW,TRUE,SCHEDULED,1.000,PLANNED
MOV_000094,SYN_TRAIN_0094,PASSENGER,SEC_005,2026-09-17 05:50:00,2026-09-17 06:02:00,UP,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000095,SYN_TRAIN_0095,FREIGHT,SEC_006,2026-09-15 08:55:00,2026-09-15 09:07:00,DOWN,MEDIUM,TRUE,SCHEDULED,1.000,PLANNED
MOV_000096,SYN_TRAIN_0096,PASSENGER,SEC_002,2026-09-18 04:20:00,2026-09-18 04:25:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000097,SYN_TRAIN_0097,EXPRESS,SEC_006,2026-09-16 02:15:00,2026-09-16 02:25:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000098,SYN_TRAIN_0098,FREIGHT,SEC_006,2026-09-18 09:05:00,2026-09-18 09:25:00,UP,HIGH,TRUE,SCHEDULED,1.000,PLANNED
MOV_000099,SYN_TRAIN_0099,PASSENGER,SEC_002,2026-09-16 02:50:00,2026-09-16 02:58:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000100,SYN_TRAIN_0100,PASSENGER,SEC_010,2026-09-16 21:15:00,2026-09-16 21:30:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000101,SYN_TRAIN_0101,EXPRESS,SEC_010,2026-09-16 20:35:00,2026-09-16 20:50:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000102,SYN_TRAIN_0102,PASSENGER,SEC_001,2026-09-16 21:30:00,2026-09-16 21:42:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000103,SYN_TRAIN_0103,OTHER,SEC_004,2026-09-16 14:25:00,2026-09-16 14:50:00,DOWN,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000104,SYN_TRAIN_0104,EXPRESS,SEC_005,2026-09-16 14:20:00,2026-09-16 14:45:00,UP,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000105,SYN_TRAIN_0105,PASSENGER,SEC_007,2026-09-17 23:20:00,2026-09-17 23:32:00,UP,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000106,SYN_TRAIN_0106,PASSENGER,SEC_002,2026-09-20 18:05:00,2026-09-20 18:35:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000107,SYN_TRAIN_0107,MAINTENANCE,SEC_008,2026-09-18 11:05:00,2026-09-18 11:13:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000108,SYN_TRAIN_0108,FREIGHT,SEC_002,2026-09-20 09:40:00,2026-09-20 09:48:00,DOWN,MEDIUM,TRUE,SCHEDULED,1.000,PLANNED
MOV_000109,SYN_TRAIN_0109,PASSENGER,SEC_002,2026-09-19 05:05:00,2026-09-19 05:30:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000110,SYN_TRAIN_0110,PASSENGER,SEC_010,2026-09-19 16:50:00,2026-09-19 16:58:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000111,SYN_TRAIN_0111,FREIGHT,SEC_002,2026-09-14 16:25:00,2026-09-14 16:50:00,UP,HIGH,TRUE,SCHEDULED,1.000,PLANNED
MOV_000112,SYN_TRAIN_0112,EXPRESS,SEC_008,2026-09-15 20:10:00,2026-09-15 20:35:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000113,SYN_TRAIN_0113,PASSENGER,SEC_006,2026-09-20 12:50:00,2026-09-20 12:58:00,UP,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000114,SYN_TRAIN_0114,EXPRESS,SEC_006,2026-09-16 04:40:00,2026-09-16 05:10:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000115,SYN_TRAIN_0115,EXPRESS,SEC_009,2026-09-19 21:05:00,2026-09-19 21:25:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000116,SYN_TRAIN_0116,PASSENGER,SEC_007,2026-09-14 20:40:00,2026-09-14 20:48:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000117,SYN_TRAIN_0117,PASSENGER,SEC_005,2026-09-16 13:45:00,2026-09-16 14:05:00,UP,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000118,SYN_TRAIN_0118,PASSENGER,SEC_007,2026-09-18 05:10:00,2026-09-18 05:22:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000119,SYN_TRAIN_0119,FREIGHT,SEC_007,2026-09-16 01:55:00,2026-09-16 02:20:00,UP,HIGH,TRUE,SCHEDULED,1.000,PLANNED
MOV_000120,SYN_TRAIN_0120,EXPRESS,SEC_001,2026-09-15 12:50:00,2026-09-15 13:15:00,DOWN,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000121,SYN_TRAIN_0121,FREIGHT,SEC_001,2026-09-17 17:05:00,2026-09-17 17:13:00,DOWN,LOW,TRUE,SCHEDULED,1.000,PLANNED
MOV_000122,SYN_TRAIN_0122,PASSENGER,SEC_009,2026-09-19 13:55:00,2026-09-19 14:07:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000123,SYN_TRAIN_0123,PASSENGER,SEC_010,2026-09-16 19:10:00,2026-09-16 19:35:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000124,SYN_TRAIN_0124,PASSENGER,SEC_001,2026-09-16 12:10:00,2026-09-16 12:22:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000125,SYN_TRAIN_0125,EXPRESS,SEC_009,2026-09-16 05:45:00,2026-09-16 06:00:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000126,SYN_TRAIN_0126,PASSENGER,SEC_006,2026-09-17 13:35:00,2026-09-17 14:00:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000127,SYN_TRAIN_0127,PASSENGER,SEC_001,2026-09-20 17:45:00,2026-09-20 18:00:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000128,SYN_TRAIN_0128,FREIGHT,SEC_001,2026-09-16 08:20:00,2026-09-16 08:25:00,DOWN,MEDIUM,TRUE,SCHEDULED,1.000,PLANNED
MOV_000129,SYN_TRAIN_0129,PASSENGER,SEC_007,2026-09-15 06:00:00,2026-09-15 06:08:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000130,SYN_TRAIN_0130,EXPRESS,SEC_010,2026-09-14 04:05:00,2026-09-14 04:13:00,DOWN,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000131,SYN_TRAIN_0131,PASSENGER,SEC_007,2026-09-19 11:25:00,2026-09-19 11:33:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000132,SYN_TRAIN_0132,FREIGHT,SEC_003,2026-09-15 20:20:00,2026-09-15 20:25:00,DOWN,HIGH,TRUE,SCHEDULED,1.000,PLANNED
MOV_000133,SYN_TRAIN_0133,PASSENGER,SEC_008,2026-09-14 13:05:00,2026-09-14 13:10:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000134,SYN_TRAIN_0134,OTHER,SEC_006,2026-09-17 04:20:00,2026-09-17 04:25:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000135,SYN_TRAIN_0135,PASSENGER,SEC_008,2026-09-15 14:25:00,2026-09-15 14:30:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000136,SYN_TRAIN_0136,FREIGHT,SEC_004,2026-09-20 06:35:00,2026-09-20 06:55:00,DOWN,LOW,TRUE,SCHEDULED,1.000,PLANNED
MOV_000137,SYN_TRAIN_0137,PASSENGER,SEC_002,2026-09-19 14:30:00,2026-09-19 14:35:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000138,SYN_TRAIN_0138,PASSENGER,SEC_009,2026-09-15 12:35:00,2026-09-15 12:40:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000139,SYN_TRAIN_0139,PASSENGER,SEC_006,2026-09-20 08:45:00,2026-09-20 08:53:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000140,SYN_TRAIN_0140,EXPRESS,SEC_004,2026-09-14 13:05:00,2026-09-14 13:30:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000141,SYN_TRAIN_0141,PASSENGER,SEC_007,2026-09-18 22:40:00,2026-09-18 22:48:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000142,SYN_TRAIN_0142,FREIGHT,SEC_001,2026-09-16 02:30:00,2026-09-16 02:42:00,UP,MEDIUM,TRUE,SCHEDULED,1.000,PLANNED
MOV_000143,SYN_TRAIN_0143,PASSENGER,SEC_008,2026-09-18 19:40:00,2026-09-18 19:45:00,DOWN,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000144,SYN_TRAIN_0144,PASSENGER,SEC_003,2026-09-14 02:05:00,2026-09-14 02:15:00,DOWN,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000145,SYN_TRAIN_0145,PASSENGER,SEC_005,2026-09-20 17:15:00,2026-09-20 17:23:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000146,SYN_TRAIN_0146,PASSENGER,SEC_002,2026-09-19 13:40:00,2026-09-19 14:05:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000147,SYN_TRAIN_0147,FREIGHT,SEC_002,2026-09-18 03:05:00,2026-09-18 03:20:00,DOWN,LOW,TRUE,SCHEDULED,1.000,PLANNED
MOV_000148,SYN_TRAIN_0148,EXPRESS,SEC_010,2026-09-20 07:55:00,2026-09-20 08:00:00,DOWN,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000149,SYN_TRAIN_0149,EXPRESS,SEC_001,2026-09-17 00:40:00,2026-09-17 00:55:00,UP,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000150,SYN_TRAIN_0150,PASSENGER,SEC_005,2026-09-14 15:35:00,2026-09-14 15:55:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000151,SYN_TRAIN_0151,MAINTENANCE,SEC_002,2026-09-19 04:50:00,2026-09-19 04:58:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000152,SYN_TRAIN_0152,PASSENGER,SEC_005,2026-09-16 16:45:00,2026-09-16 16:55:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
