record_id,asset_id,department,task_type,criticality,urgency,operational_impact,previous_defects,maintenance_frequency,estimated_duration,actual_duration,delay_to_completion,was_overdue,repeat_defect,weather_risk,previous_failure_indicator,defect_severity,final_priority
HIST_000053,AST_000001,ENGINEERING,INSPECTION,50.3,89.0,32.4,2,9,60,67,4,TRUE,TRUE,0.999,False,HIGH,55.07
HIST_000054,AST_000018,S&T,REPAIR,94.2,21.6,30.4,2,8,120,133,8,TRUE,TRUE,0.805,False,MEDIUM,47.24
HIST_000055,AST_000035,TRD,REPLACEMENT,84.2,0.0,30.6,2,11,45,39,0,FALSE,TRUE,0.957,False,MEDIUM,38.88
HIST_000056,AST_000002,TRD,TESTING,63.8,81.3,27.6,4,6,30,26,0,FALSE,TRUE,0.385,False,HIGH,56.23
HIST_000057,AST_000019,ENGINEERING,PREVENTIVE_MAINTENANCE,79.6,0.0,22.6,2,4,120,145,15,TRUE,TRUE,0.268,True,HIGH,49.65
HIST_000058,AST_000036,S&T,CORRECTIVE_MAINTENANCE,78.2,100.0,45.0,1,9,75,91,10,TRUE,TRUE,0.979,False,CRITICAL,72.46
HIST_000059,AST_000003,S&T,INSPECTION,55.7,59.7,53.8,4,10,30,34,2,TRUE,TRUE,1.0,False,CRITICAL,57.4
HIST_000060,AST_000020,TRD,REPAIR,63.2,100.0,21.4,4,7,150,186,22,TRUE,TRUE,0.223,False,MEDIUM,55.74
HIST_000061,AST_000037,ENGINEERING,REPLACEMENT,81.9,47.5,38.0,0,8,120,132,7,TRUE,FALSE,0.779,False,CRITICAL,59.05
HIST_000062,AST_000004,ENGINEERING,TESTING,87.4,0.0,53.9,3,9,90,84,0,FALSE,TRUE,0.626,False,LOW,40.75
HIST_000063,AST_000021,S&T,PREVENTIVE_MAINTENANCE,42.9,0.0,38.5,2,7,240,248,5,TRUE,TRUE,0.42,False,CRITICAL,35.57
HIST_000064,AST_000038,TRD,CORRECTIVE_MAINTENANCE,95.1,55.1,47.7,1,6,240,286,28,TRUE,TRUE,0.615,True,CRITICAL,76.84
HIST_000065,AST_000005,TRD,INSPECTION,56.6,89.5,23.2,2,5,90,90,0,FALSE,TRUE,0.471,False,LOW,47.75
HIST_000066,AST_000022,ENGINEERING,REPAIR,76.5,48.9,61.9,3,2,90,102,7,TRUE,TRUE,0.524,False,LOW,51.3
HIST_000067,AST_000039,S&T,REPLACEMENT,91.8,55.6,37.9,1,4,60,56,0,FALSE,TRUE,0.561,False,LOW,52.77
HIST_000068,AST_000006,S&T,TESTING,94.3,0.0,16.1,3,10,45,53,5,TRUE,TRUE,0.001,False,HIGH,42.76
HIST_000069,AST_000023,TRD,PREVENTIVE_MAINTENANCE,55.6,0.0,58.2,1,6,75,65,0,FALSE,TRUE,0.806,False,LOW,32.07
HIST_000070,AST_000040,ENGINEERING,CORRECTIVE_MAINTENANCE,49.9,100.0,72.2,5,1,240,262,13,TRUE,TRUE,0.051,False,MEDIUM,61.91
HIST_000071,AST_000007,ENGINEERING,INSPECTION,52.8,100.0,44.5,2,6,30,30,0,FALSE,TRUE,0.841,True,LOW,63.49
HIST_000072,AST_000024,S&T,REPAIR,66.7,23.7,22.2,3,7,120,135,9,TRUE,TRUE,0.989,False,CRITICAL,45.38
HIST_000073,AST_000041,TRD,REPLACEMENT,89.8,0.0,48.6,2,3,150,129,0,FALSE,TRUE,0.398,False,HIGH,47.91
HIST_000074,AST_000008,TRD,TESTING,88.0,29.6,68.3,4,9,90,94,2,TRUE,TRUE,0.956,False,CRITICAL,62.46
HIST_000075,AST_000025,ENGINEERING,PREVENTIVE_MAINTENANCE,94.7,20.5,34.8,3,12,30,31,1,TRUE,TRUE,0.603,False,HIGH,51.74
HIST_000076,AST_000042,S&T,CORRECTIVE_MAINTENANCE,44.5,27.9,43.2,1,7,45,38,0,FALSE,TRUE,0.802,False,CRITICAL,43.97
HIST_000077,AST_000009,S&T,INSPECTION,89.0,88.5,53.1,1,8,180,151,0,FALSE,TRUE,0.838,False,MEDIUM,66.95
HIST_000078,AST_000026,TRD,REPAIR,79.3,84.3,27.4,3,3,75,76,1,TRUE,TRUE,0.497,True,HIGH,71.59
HIST_000079,AST_000043,ENGINEERING,INSPECTION,70.1,100.0,43.2,4,3,90,83,0,FALSE,TRUE,0.506,False,HIGH,65.92
HIST_000080,AST_000010,ENGINEERING,REPAIR,83.3,0.0,43.6,1,9,180,148,0,FALSE,TRUE,0.999,False,HIGH,44.96
HIST_000081,AST_000027,S&T,REPLACEMENT,50.8,2.3,49.7,2,2,150,155,3,TRUE,TRUE,0.278,False,CRITICAL,40.75
HIST_000082,AST_000044,TRD,TESTING,56.3,6.1,53.9,1,3,90,101,7,TRUE,TRUE,0.947,False,HIGH,40.44
HIST_000083,AST_000011,TRD,PREVENTIVE_MAINTENANCE,69.6,86.6,70.2,0,11,75,62,0,FALSE,FALSE,0.427,False,CRITICAL,71.57
HIST_000084,AST_000028,ENGINEERING,CORRECTIVE_MAINTENANCE,49.5,24.0,19.7,2,8,45,44,0,FALSE,TRUE,0.221,False,CRITICAL,39.79
HIST_000085,AST_000045,S&T,INSPECTION,42.3,36.9,23.2,5,5,180,217,22,TRUE,TRUE,0.139,True,CRITICAL,51.55
HIST_000086,AST_000012,S&T,REPAIR,62.0,75.6,40.1,4,2,150,152,1,TRUE,TRUE,0.097,False,HIGH,56.77
HIST_000087,AST_000029,TRD,REPLACEMENT,88.2,15.0,23.4,0,4,75,63,0,FALSE,FALSE,0.183,False,HIGH,46.14
HIST_000088,AST_000046,ENGINEERING,TESTING,52.0,100.0,52.4,4,3,240,279,23,TRUE,TRUE,0.569,False,LOW,54.83
HIST_000089,AST_000013,ENGINEERING,PREVENTIVE_MAINTENANCE,54.3,23.3,54.7,1,7,240,230,0,FALSE,TRUE,0.884,False,MEDIUM,40.55
HIST_000090,AST_000030,S&T,CORRECTIVE_MAINTENANCE,88.6,53.8,28.6,2,6,90,77,0,FALSE,TRUE,0.451,False,HIGH,57.0
HIST_000091,AST_000047,TRD,INSPECTION,84.5,95.5,25.4,2,11,240,290,30,TRUE,TRUE,0.284,False,MEDIUM,61.8
HIST_000092,AST_000014,TRD,REPAIR,44.4,2.5,63.3,2,1,60,70,6,TRUE,TRUE,0.541,True,LOW,40.35
HIST_000093,AST_000031,ENGINEERING,REPLACEMENT,40.4,97.8,58.9,1,1,180,159,0,FALSE,TRUE,0.5,False,HIGH,59.6
HIST_000094,AST_000048,S&T,TESTING,56.3,78.7,26.5,0,7,180,163,0,FALSE,FALSE,0.965,False,CRITICAL,56.86
HIST_000095,AST_000015,S&T,PREVENTIVE_MAINTENANCE,53.9,0.0,71.6,3,1,240,222,0,FALSE,TRUE,0.635,False,CRITICAL,45.49
HIST_000096,AST_000032,TRD,CORRECTIVE_MAINTENANCE,72.1,39.7,54.3,5,7,180,201,13,TRUE,TRUE,0.959,False,HIGH,53.66
HIST_000097,AST_000049,ENGINEERING,INSPECTION,67.6,39.7,46.0,3,9,180,145,0,FALSE,TRUE,0.609,False,CRITICAL,54.41
HIST_000098,AST_000016,ENGINEERING,REPAIR,55.3,86.9,57.3,2,10,60,49,0,FALSE,TRUE,0.1,False,MEDIUM,57.27
HIST_000099,AST_000033,S&T,REPLACEMENT,80.7,37.5,25.9,2,12,180,169,0,FALSE,TRUE,0.035,True,MEDIUM,56.27
HIST_000100,AST_000050,TRD,TESTING,88.2,53.8,34.8,2,6,150,158,5,TRUE,TRUE,0.274,False,LOW,50.62
HIST_000101,AST_000017,TRD,PREVENTIVE_MAINTENANCE,66.6,0.0,43.3,5,11,180,203,14,TRUE,TRUE,0.16,False,CRITICAL,43.64
HIST_000102,AST_000034,ENGINEERING,CORRECTIVE_MAINTENANCE,82.4,98.7,19.5,1,6,240,283,26,TRUE,TRUE,0.684,False,CRITICAL,68.3
HIST_000103,AST_000001,ENGINEERING,INSPECTION,50.3,48.1,33.1,5,3,90,101,7,TRUE,TRUE,0.806,False,CRITICAL,48.73
HIST_000104,AST_000018,S&T,REPAIR,94.2,100.0,23.8,3,7,75,87,7,TRUE,TRUE,0.649,False,MEDIUM,65.52
HIST_000105,AST_000035,TRD,REPLACEMENT,84.2,14.6,18.3,2,3,90,79,0,FALSE,TRUE,0.935,False,MEDIUM,40.07
HIST_000106,AST_000002,TRD,REPAIR,63.8,3.6,29.0,5,11,120,149,17,TRUE,TRUE,0.895,True,MEDIUM,43.34
HIST_000107,AST_000019,ENGINEERING,REPLACEMENT,79.6,100.0,25.8,4,7,240,238,0,FALSE,TRUE,0.025,False,HIGH,65.29
HIST_000108,AST_000036,S&T,TESTING,78.2,19.9,57.2,4,6,45,41,0,FALSE,TRUE,0.821,False,LOW,43.62
HIST_000109,AST_000003,S&T,PREVENTIVE_MAINTENANCE,55.7,58.8,59.0,1,2,60,62,1,TRUE,TRUE,0.567,False,LOW,46.96
HIST_000110,AST_000020,TRD,CORRECTIVE_MAINTENANCE,63.2,100.0,28.4,1,2,90,88,0,FALSE,TRUE,0.904,False,CRITICAL,64.64
HIST_000111,AST_000037,ENGINEERING,INSPECTION,81.9,0.0,41.4,3,2,90,110,12,TRUE,TRUE,0.388,False,CRITICAL,47.85
HIST_000112,AST_000004,ENGINEERING,REPAIR,87.4,0.0,50.5,3,4,150,121,0,FALSE,TRUE,0.993,False,HIGH,47.57
HIST_000113,AST_000021,S&T,REPLACEMENT,42.9,42.6,48.2,3,11,150,136,0,FALSE,TRUE,0.917,True,LOW,46.91
HIST_000114,AST_000038,TRD,TESTING,95.1,14.2,45.8,3,12,120,135,9,TRUE,TRUE,0.646,False,LOW,44.99
HIST_000115,AST_000005,TRD,PREVENTIVE_MAINTENANCE,56.6,87.2,18.3,4,7,30,32,1,TRUE,TRUE,0.524,False,MEDIUM,49.94
HIST_000116,AST_000022,ENGINEERING,CORRECTIVE_MAINTENANCE,76.5,0.0,58.4,4,1,180,151,0,FALSE,TRUE,0.526,False,CRITICAL,49.63
HIST_000117,AST_000039,S&T,INSPECTION,91.8,25.8,40.5,0,5,180,194,8,TRUE,FALSE,0.257,False,HIGH,53.34
HIST_000118,AST_000006,S&T,REPAIR,94.3,84.0,22.6,4,11,90,96,4,TRUE,TRUE,0.349,False,HIGH,65.06
HIST_000119,AST_000023,TRD,REPLACEMENT,55.6,56.8,56.1,3,11,240,263,14,TRUE,TRUE,0.1,False,HIGH,53.35
HIST_000120,AST_000040,ENGINEERING,TESTING,49.9,0.0,79.9,1,1,30,28,0,FALSE,TRUE,0.428,True,HIGH,52.2
HIST_000121,AST_000007,ENGINEERING,PREVENTIVE_MAINTENANCE,52.8,11.2,40.9,0,4,150,161,7,TRUE,FALSE,0.551,False,MEDIUM,34.32
HIST_000122,AST_000024,S&T,CORRECTIVE_MAINTENANCE,66.7,77.8,22.5,2,3,120,141,13,TRUE,TRUE,0.595,False,CRITICAL,58.96
HIST_000123,AST_000041,TRD,INSPECTION,89.8,13.2,51.5,5,2,75,82,4,TRUE,TRUE,0.952,False,LOW,44.29
HIST_000124,AST_000008,TRD,REPAIR,88.0,18.5,68.3,0,3,60,72,7,TRUE,FALSE,0.547,False,LOW,48.44
HIST_000125,AST_000025,ENGINEERING,REPLACEMENT,94.7,93.9,32.3,3,11,150,165,9,TRUE,TRUE,0.335,False,HIGH,69.59
HIST_000126,AST_000042,S&T,TESTING,44.5,0.0,46.5,1,10,30,37,4,TRUE,TRUE,0.39,False,MEDIUM,30.15
HIST_000127,AST_000009,S&T,PREVENTIVE_MAINTENANCE,89.0,100.0,63.0,3,11,90,101,7,TRUE,TRUE,0.652,True,LOW,78.05
HIST_000128,AST_000026,TRD,CORRECTIVE_MAINTENANCE,79.3,56.1,25.7,0,1,45,36,0,FALSE,FALSE,0.594,False,HIGH,54.2
HIST_000129,AST_000043,ENGINEERING,INSPECTION,70.1,93.2,44.1,5,3,180,192,7,TRUE,TRUE,0.631,False,MEDIUM,60.65
HIST_000130,AST_000010,ENGINEERING,REPAIR,83.3,43.8,52.7,0,1,240,249,5,TRUE,FALSE,0.095,False,CRITICAL,61.48
HIST_000131,AST_000027,S&T,REPLACEMENT,50.8,50.5,56.4,1,2,150,144,0,FALSE,TRUE,0.293,False,HIGH,50.39
HIST_000132,AST_000044,TRD,REPAIR,56.3,92.5,52.2,4,8,300,317,10,TRUE,TRUE,0.968,False,MEDIUM,57.95
HIST_000133,AST_000011,TRD,REPLACEMENT,69.6,0.0,72.1,1,5,75,68,0,FALSE,TRUE,0.684,False,CRITICAL,50.3
HIST_000134,AST_000028,ENGINEERING,TESTING,49.5,10.1,31.0,1,3,120,115,0,FALSE,TRUE,0.793,True,MEDIUM,41.08
HIST_000135,AST_000045,S&T,PREVENTIVE_MAINTENANCE,42.3,100.0,27.0,3,9,90,108,11,TRUE,TRUE,0.73,False,HIGH,54.34
HIST_000136,AST_000012,S&T,CORRECTIVE_MAINTENANCE,62.0,100.0,43.5,0,5,150,157,4,TRUE,FALSE,0.69,False,HIGH,63.55
HIST_000137,AST_000029,TRD,INSPECTION,88.2,19.2,26.8,5,5,90,112,13,TRUE,TRUE,0.783,False,CRITICAL,51.62
HIST_000138,AST_000046,ENGINEERING,REPAIR,52.0,0.0,50.4,0,5,120,132,7,TRUE,FALSE,0.062,False,CRITICAL,40.68
HIST_000139,AST_000013,ENGINEERING,REPLACEMENT,54.3,100.0,53.2,2,2,30,30,0,FALSE,TRUE,0.239,False,MEDIUM,59.43
HIST_000140,AST_000030,S&T,TESTING,88.6,100.0,24.9,3,10,60,68,5,TRUE,TRUE,0.424,False,LOW,60.31
HIST_000141,AST_000047,TRD,PREVENTIVE_MAINTENANCE,84.5,13.9,14.9,1,11,30,28,0,FALSE,TRUE,0.694,True,CRITICAL,56.8
HIST_000142,AST_000014,TRD,CORRECTIVE_MAINTENANCE,44.4,50.2,65.8,3,8,60,62,1,TRUE,TRUE,0.24,False,MEDIUM,46.53
HIST_000143,AST_000031,ENGINEERING,INSPECTION,40.4,97.2,54.1,3,4,60,63,2,TRUE,TRUE,0.341,False,CRITICAL,62.24
HIST_000144,AST_000048,S&T,REPAIR,56.3,0.0,37.4,1,11,180,166,0,FALSE,TRUE,0.265,False,LOW,28.12
HIST_000145,AST_000015,S&T,REPLACEMENT,53.9,100.0,72.1,3,4,30,25,0,FALSE,TRUE,0.631,False,LOW,59.34
HIST_000146,AST_000032,TRD,TESTING,72.1,0.0,50.4,2,4,90,101,7,TRUE,TRUE,0.585,False,MEDIUM,39.21
HIST_000147,AST_000049,ENGINEERING,PREVENTIVE_MAINTENANCE,67.6,100.0,59.3,1,4,75,77,1,TRUE,TRUE,0.882,False,CRITICAL,72.14
HIST_000148,AST_000016,ENGINEERING,CORRECTIVE_MAINTENANCE,55.3,72.7,46.2,3,6,90,102,7,TRUE,TRUE,0.519,True,MEDIUM,61.51
HIST_000149,AST_000033,S&T,INSPECTION,80.7,51.2,25.4,3,4,60,72,7,TRUE,TRUE,0.244,False,MEDIUM,49.59
HIST_000150,AST_000050,TRD,REPAIR,88.2,100.0,39.7,2,4,150,174,14,TRUE,TRUE,0.675,False,CRITICAL,74.4
HIST_000151,AST_000017,TRD,REPLACEMENT,66.6,20.3,40.2,4,6,180,183,2,TRUE,TRUE,0.571,False,MEDIUM,40.59
HIST_000152,AST_000034,ENGINEERING,TESTING,82.4,53.7,20.5,4,10,240,218,0,FALSE,TRUE,0.524,False,HIGH,53.5
HIST_000153,AST_000001,ENGINEERING,PREVENTIVE_MAINTENANCE,50.3,59.5,27.4,5,5,240,294,32,TRUE,TRUE,0.521,False,LOW,39.19
HIST_000154,AST_000018,S&T,CORRECTIVE_MAINTENANCE,94.2,19.6,21.5,2,7,90,73,0,FALSE,TRUE,0.966,False,HIGH,48.71
HIST_000155,AST_000035,TRD,INSPECTION,84.2,32.3,31.3,2,10,240,231,0,FALSE,TRUE,0.143,True,MEDIUM,57.09
HIST_000156,AST_000002,TRD,REPAIR,63.8,24.3,32.5,2,10,90,88,0,FALSE,TRUE,0.259,False,HIGH,42.96
HIST_000157,AST_000019,ENGINEERING,REPLACEMENT,79.6,8.5,20.1,5,10,240,258,11,TRUE,TRUE,0.796,False,CRITICAL,45.02
HIST_000158,AST_000036,S&T,REPAIR,78.2,100.0,53.3,5,10,180,222,25,TRUE,TRUE,0.492,False,LOW,62.87
HIST_000159,AST_000003,S&T,REPLACEMENT,55.7,0.0,55.5,5,2,120,132,7,TRUE,TRUE,0.955,False,MEDIUM,35.31
HIST_000160,AST_000020,TRD,TESTING,63.2,0.0,25.6,1,11,90,98,5,TRUE,TRUE,0.965,False,MEDIUM,31.58
HIST_000161,AST_000037,ENGINEERING,PREVENTIVE_MAINTENANCE,81.9,78.5,35.6,2,3,120,138,11,TRUE,TRUE,0.842,False,MEDIUM,58.81
HIST_000162,AST_000004,ENGINEERING,CORRECTIVE_MAINTENANCE,87.4,100.0,48.2,5,9,75,79,2,TRUE,TRUE,0.252,True,MEDIUM,78.36
HIST_000163,AST_000021,S&T,INSPECTION,42.9,42.6,45.7,3,6,30,26,0,FALSE,TRUE,0.687,False,HIGH,43.91
HIST_000164,AST_000038,TRD,REPAIR,95.1,90.1,39.8,2,5,90,90,0,FALSE,TRUE,0.005,False,CRITICAL,74.01
HIST_000165,AST_000005,TRD,REPLACEMENT,56.6,100.0,21.1,5,4,75,84,5,TRUE,TRUE,0.332,False,LOW,49.95
HIST_000166,AST_000022,ENGINEERING,TESTING,76.5,94.8,55.1,5,5,150,149,0,FALSE,TRUE,0.615,False,HIGH,68.92
HIST_000167,AST_000039,S&T,PREVENTIVE_MAINTENANCE,91.8,11.8,42.5,3,7,90,96,4,TRUE,TRUE,0.045,False,LOW,42.74
HIST_000168,AST_000006,S&T,CORRECTIVE_MAINTENANCE,94.3,0.0,24.9,3,6,180,147,0,FALSE,TRUE,0.526,False,CRITICAL,48.27
HIST_000169,AST_000023,TRD,INSPECTION,55.6,58.2,56.0,5,4,180,212,19,TRUE,TRUE,0.699,True,LOW,56.18
HIST_000170,AST_000040,ENGINEERING,REPAIR,49.9,45.9,76.1,3,11,120,99,0,FALSE,TRUE,0.34,False,CRITICAL,56.66
HIST_000171,AST_000007,ENGINEERING,REPLACEMENT,52.8,100.0,40.5,0,11,240,237,0,FALSE,FALSE,0.919,False,LOW,52.69
HIST_000172,AST_000024,S&T,TESTING,66.7,100.0,22.4,2,4,180,213,20,TRUE,TRUE,0.78,False,CRITICAL,64.49
HIST_000173,AST_000041,TRD,PREVENTIVE_MAINTENANCE,89.8,0.0,54.0,4,3,60,52,0,FALSE,TRUE,0.756,False,LOW,41.49
HIST_000174,AST_000008,TRD,CORRECTIVE_MAINTENANCE,88.0,0.0,64.3,3,6,150,142,0,FALSE,TRUE,0.822,False,CRITICAL,54.26
HIST_000175,AST_000025,ENGINEERING,INSPECTION,94.7,0.0,43.1,0,12,240,254,8,TRUE,FALSE,0.598,False,HIGH,48.28
HIST_000176,AST_000042,S&T,REPAIR,44.5,54.4,41.9,5,4,60,56,0,FALSE,TRUE,0.972,True,MEDIUM,52.83
HIST_000177,AST_000009,S&T,REPLACEMENT,89.0,32.1,57.4,1,9,30,31,1,TRUE,TRUE,0.437,False,LOW,49.95
HIST_000178,AST_000026,TRD,TESTING,79.3,100.0,18.3,0,2,75,62,0,FALSE,FALSE,0.362,False,LOW,56.2
HIST_000179,AST_000043,ENGINEERING,PREVENTIVE_MAINTENANCE,70.1,87.4,53.1,0,11,60,71,7,TRUE,FALSE,0.705,False,HIGH,64.75
HIST_000180,AST_000010,ENGINEERING,CORRECTIVE_MAINTENANCE,83.3,56.6,53.7,1,8,120,117,0,FALSE,TRUE,0.533,False,CRITICAL,64.88
